■行
〆藁小竹縄
あかり
あはれミ
あるき
いは
えびす
おいはぎ
おとり狂言
おどり
おもの木
かきびせ
かぎ浚
かこうき
かご
かさ
かし
かすていら
かせぎ
かよひ
からす
からみ
かり締切手
かゝみ
くじら
くませ
けり
こしたい
こみあけ
こんぶ
さうめん
さし湯
さじ
さじき
さなだ扇
さば真田団
しばり首
しめもと
しらせ
しゝ
しゝ囲
しゝ当
するめ
せかき
せがき
せき
そらせ
そり
ぞうり
たき
たきゞ
たはこ
たばこ
たまり水
ためし
たゝみ
だめし
ちりめん
とうろ
とがせ
なよし薄干
ぬかり
ぬげ所
ぬすみ
ぬす人
のし
のぞき
のぼり
はぐろ初
はさみ
はし
はせ
はた
はたつめ
はづ＊
はま弓
はやし
はらひ
はらひ込
ばるけん
ひかへ
ひかへ船
ひきすえ
ひげ籠
ひしぎ
ひらき
ふき替
ふさぎ
ほたち
ほら
むかへ
むかへ侍
むすめ
めさまし
もちまん
やさひ
やとひ
やね
よりも
わなさし
アメリカ船
アラミ
一件
一円
一同
一周忌
一字
一宿
一御飾
一汁一菜
一汁三菜
一生
一生ヶ間
一番御湯
一荷
一見
一遍
一順
一類
一類懸り
一類達
丁見
丁見御会試
七夕
七夜
七夜御祝
七夜祝
万端
三人扶持
三番叟
三番船
上がり物
上り
上り地
上下
上乗
上京
上使屋
上借銀方
上地
上宿
上屋敷
上屋敷便
上席
上府
上御屋敷便
上検見
上洛
上物
上米
上納
上覧
上覧無
上銀
上陸
上鳥
下々
下向
下国
下宿
下屋敷
下山
下已
下帯
下江筋
下済
下渡
下物
下着
下筋
下金
不仕
不例
不便利
不動会
不勝
不勝手
不勤
不埒
不宜者
不審
不届
不幸
不快
不所業
不案内
不残
不番
不相叶
不相当
不相替
不礼
不納
不縁
不聞
不行届
不行跡者
不被成候
不被為請
不被相叶
不足
不軽
不都合
世外
世継
世話
両度
両獅子
両通
両霊
並様
中台所船
中右
中暑気
中田取納
中蘭法
中陰
中陰払
中陰晴
中馬究
丸上
丸太
久留間籠舎
乗入
乗廻
乗船
乗被成
乗馬
乞筈
乞請度
乱妨
乱心
乱気
乳
二丸便
二人扶持
二宿
二御丸
二方
五人扶持
五人組
五位
五十人扶持
五穀成就
五穀神祭
五穀豊穣
五節句
五菜
井上流
井樋
亜墨利加船
亜米利加人
亡
亡父
亡父跡式
亡者
交代
交代月
交替
京学
人
人々
人位
人参
人形
人形屋
人改
人数
人柄
人狩見分
人相書
人程
人組
人駄
什物
今乗
介抱人
介抱米
仏参
仏殿
仏殿建
仏蘭西船
仏詣
仕
仕与
仕候
仕切
仕切中
仕合
仕度
仕廻
仕成
仕替
仕組
仕組み
仕組書
仕置
仕舞
仕覧
仕送銀
他国
他界
付之者
付人
付届
付属
付札
付火
付獨
付紙
代人
代地
代山伏
代打
代替
代番
代相仕廻
代銀
代香
仮ぶき
仮御誓詞
仮辻番
仰上置
仰渡
仲居達
仲間
任官
伐取
休
休事
休息
休所
休泊
会
会例
会試
伝授
伴僧
伺
伺出
伺書
伺済
伺状
伽
位牌
住
住宅
住居
住居願
佐嘉行
佐嘉越
佐嘉達
作
作事
作事中
作事半
作事料
作毛
作法
