■厳院
■左衛門
■徳院
■渡須藤二
いすけ
えびす町千兵衛
おいね
おきく
おきら
おこま
おさし
おさち
おさひ
おさほ
おさゐ
おさん
おしけ
おしげ
おすか
おどり子磯右衛門
おはつ
おはる
おふり
おまき
おまつ
おまん
おみす
おみの
おやつ
おゆふ
およし
およふ
おりの
おれき
おわん
お一
お三
お久
お久米
お亀
お伝
お佐保
お初
お勝
お千代
お千百
お半
お厚
お吉
お吉良
お和
お園
お寵
お市
お年
お幾
お才
お操
お敦
お春
お末
お松
お楽
お添藤左衛門
お清
お牛
お直
お糸
お羊
お美濃
お輝
お類
お鶴
お＊
かはた四五右衛門
くぼ
くまの川同勝右衛門
けさ松
けさ靏
けさ鶴
こんとう坊主
さよ
せん菊
せ与助
そね
たね
とき
とし浜
はつ
ひさ
ふち
みね
ゆう
よし
わかの
シケさし杢左衛門
ヒサ
ヲみを
一乗院
一八
一典
一右衛門
一太郎
一庵
一手組又左衛門
一江
一郎
一郎兵衛
一郎右衛門
一郎左衛門
七之丞
七之允
七之助
七兵衛
七助
七右衛門
七寺崎新三郎
七左衛門
七田次右衛門
七田長兵衛
七郎
七郎兵衛
七郎右衛門
七郎左衛門
万之丞
万之介
万之助
万八
万兵衛
万助
万右衛門
万吉
万太郎
万山和尚
丈右衛門
三ツ町平馬
三上
三上八左衛門
三上兵助
三上惣平
三上茂
三上茂八
三二郎
三五兵衛
三五左衛門
三兵衛
三厨
三厨八左衛門
三厨千兵衛
三厨千兵衛波庵門
三厨覚右衛門
三右衛門
三四郎
三太夫
三宅周防守
三宅大学
三宅防州
三宝院
三家
三左衛門
三次郎
三江
三河屋甚兵衛
三治
三津
三浦
三浦久蔵
三浦九一
三浦備後守
三浦兵左衛門
三浦勘左衛門
三浦卯右衛門
三浦又兵衛
三浦名宗
三浦哲翁
三浦喜三郎
三浦壱岐守
三浦壱州
三浦安次
三浦庭右衛門
三浦志州
三浦所左衛門
三浦政五郎
三浦政次郎
三浦新五左衛門
三浦明喬
三浦明敬
三浦時之助
三浦杢之介
三浦杢之助
三浦次郎右衛門
三浦氏
三浦清左衛門
三浦源之允
三浦百助
三浦能冬
三浦諸左衛門
三浦鉄蔵
三浦靭負
三笠
三笠勝三郎
三笠勝太郎
三笠勝太郎邦衛
三郎
三郎兵衛
三郎右衛門
三郎左衛門
上瀧久兵衛
上瀧乕吉郎
上瀧八太夫
上瀧定左衛門
上瀧尉右衛門
上瀧平二郎
上瀧用之介
上瀧虎太郎
上町六兵衛
上町新吉
上税
上総
上織嶋ケ里作兵衛
上織得刈九郎兵衛
上野
上野平兵衛
上野新吉
下人儀左衛門
下人太左衛門
下人覚助
下岡
下川三省
下川五左衛門
下川利兵衛
下川孔春
下川左内
下川文蔵
下川甚五兵衛
下川董九郎
下川覚介
下川覚助
下川角介
下村八郎右衛門
下村卯右衛
下村卯右衛門
下村名宗
下村喜右衛門
下村宇右衛門
下村犀吉
下町半兵衛
下町忠右衛門
下町次兵衛
下野
与一
与一兵衛
与七
与三
与三右衛門
与三左衛門
与五右衛門
与五郎
与兵衛
与助
与十郎
与右衛門
与四右衛門
与四左衛門
与四郎
与左衛門
与惣兵衛
与惣右衛門
与次
与次兵衛
与次右衛門
与賀和庵
両国橋御前
両川
両川筋右与左衛門
中務
中原
中原与右衛門
中原与次右衛門
中原伴右衛門
中原作助
中原兼左衛門
中原助太郎
中原千兵衛
中原吾左衛門
中原善内
中原喜平次
中原嘉兵衛
中原嘉左衛門
中原孫介
中原孫助
中原弥七
中原文左衛門
中原新左衛門
中原普内
中原甚平
中国幾平
中園
中園幾平
中園藤左衛門
中城満坊
中尾
中尾与惣兵衛
中尾与次兵衛
中尾九十九
中尾二郎右衛門
中尾助四郎
中尾嘉兵衛
中尾次郎右衛門
中尾次郎左衛門
中尾正右衛門
中尾甚五左衛門
中尾神五右衛門
中尾神五左衛門
中尾神左衛門
中山七右衛門
中山備前守
中山善兵衛
中山市正
中山慶助
中島与四右衛門
中島助七
中島千二郎
中島新五兵衛
中島貞之丞
中島雪安
中島需安
中島龍仙
中嶋
中嶋七郎右衛門
中嶋七郎左衛門
中嶋与四右衛門
中嶋利左衛門
中嶋助
中嶋吉太夫
中嶋孫次郎
中嶋宗貞
中嶋寛兵衛
中嶋庄兵衛
中嶋弥五助
中嶋徳之助
中嶋忠悦
中嶋敬次郎
中嶋新右衛門
中嶋源一郎
中嶋甚九郎
中嶋甚左衛門
中嶋神左衛門
中嶋金左衛門
中嶋雪安
中嶋需安
中嶋龍仙
中普寺城山
中村
中村崎六郎
中村武助
中林十二郎
中林四郎左衛門
中林四郎左衛門妹
中江
中溝藤十
中田尻
中納言
中西
中西奥蔵
中西孫兵衛
中西新左衛門
中西源五左衛門
中西藤二郎
中野
中野兵右衛門
中野冨左衛門
中野利右衛門
中野原
中野官蔵
中野定右衛門
中野昌左衛門
中野熊之介
中陰仲諷経寺院
中願寺七助
中願寺慶次郎
丸屋町加兵衛
丸山
丹宗
丹宗久内
丹宗吉兵衛
丹宗弥三郎
丹宗弥右衛門
丹宗権左衛門
丹宗甚右衛門
丹宗甚蔵
丹宗神蔵
丹宗藤内
丹州
丹後守
丹波
丹羽
主水
主税
主膳
主計
主馬
久
久七
久世亀丸
久之
久之助
久亀
久二郎
久五左衛門
久五郎
久保
久保又七
久保彦左衛門
久保忠二郎
久保源
久保源七
久保田
久保礼助
久保禮助
久保金兵衛
久八
久兵衛
久冨栄助
久助
久右衛門
久吉
久喜本平左衛門
久喜本忠左衛門
久太郎
久左衛門
久弥
久御船
久本
久本一平
久本兵五郎
久本兵太郎
久本営五郎
久本孫之丞
久本孫之允
久本孫十
久本安左衛門
久本常右衛門
久本進右衛門
久松備後守
久松定持
久松源五左衛門
久畄白又二郎
久留与次兵衛
久留與次兵衛
久留間
久菊
乕之介
乕之助
乕吉
乗輪院
乙ミ津
乙土
九兵衛
九助
九右衛門
九左衛門
九平
九蘇刈進兵衛
九郎
九郎兵衛
九郎右衛門
九郎左衛門
亀三郎
亀千代
亀治
了佐
了佐金
了源
了算
了覚
了開
了関
二兵衛
二右衛門
二左衛門
二郎
二郎兵衛
二郎左衛門
二郎金
五々川権右衛門
五々川茂兵衛
五位鷺五
五兵衛
五助
五右衛門
五左衛門
五条刈定助
五次兵衛
五郎
五郎介
五郎兵衛
五郎助
五郎右衛門
五郎川
五郎川五郎
五郎川五郎八
五郎川作馬
五郎川権右衛門
五郎川茂之
五郎左衛門
井上
井上丈右衛門
井上清兵衛
井手忠二郎
井手金兵衛
亥八郎
亨元
京光院
仁八
仁右衛門
仁右衛門■厳院
仁左衛門
仁庵
仁戸田市兵衛
仁戸田権蔵
今村二郎左衛門
今村利太夫
今村孫右衛門
今村弥七右衛門
今村弥七左衛門
今村忠斎
今村治右衛門
今村藤太左衛門
今泉
今泉与惣兵衛
今泉与次兵衛
今泉二兵衛
今泉兵五郎
今泉内蔵允
今泉内蔵助
今泉助三郎
今泉十太夫
今泉半右衛門
今泉卯一郎
今泉宗左衛門
今泉市之助
今泉市介
今泉弁之介
今泉弥三郎
今泉悦之進
今泉惣左衛門
今泉文吉郎
今泉次郎左衛門
今泉能登
今泉能登路
今泉金兵衛
今泉鹿之進
介添江嶋金兵衛
仕覚助
仙吉
仙妙院
仙桂院
仙石丹波守
代善介
仲村
仲村八郎兵衛
仲藤七兵衛
伊三郎
伊兵衛
伊加香武右衛門
伊勢守
伊勢熊
伊十郎
伊右衛門
伊左衛門
伊東
伊東七郎兵衛
伊東三兵衛
伊東二郎左衛門
伊東伝兵衛
伊東傳兵衛
伊東傳蔵
伊東儀右衛門
伊東出雲守
伊東勘兵衛
伊東又右衛門
伊東和
伊東和州
伊東大和守
伊東平三郎
伊東新六郎
伊東瀧右衛門
伊東祐實
伊東茂兵衛
伊東貞右衛門
伊東雲州
伊織
伊藤
伊藤七左衛門
伊藤七郎兵衛
伊藤二郎左衛門
伊藤伝兵衛
伊藤傳兵衛
伊藤又右衛門
伊藤平三郎
伊藤瀧右衛門
伊藤祐右衛門
伊賀
休右衛門
伝七
伝八
伝兵衛
伝右衛門
伝左衛門
伝次
伴左衛門
似兵衛
住心院
住心院大僧正
佐保
佐保川嶋
佐兵衛
佐嘉三社
佐嘉四社
佐嘉御連枝
