いたし
いたし候付
いたし候節
いつれも
いつれ之手筈相整り候哉
え
え之
お
として
に付
へ
もたせ参候
より
を以
を以相達
ゟ
ツヽ
ニ
ニして
ニて
ニてたゝき候
ニて罷下候付
ニは
ニ付
ニ付て
ニ付取計振之事
ニ付罷出候処
ニ相成
ニ相成事
ノ事
ハ
ヘ
一件
一向
一通
上々様
不仕罷在候処
不例
不及
不及由
不懸合ニ付
不懸合事
不斗
不残
不申上候付
不申候
不申様
不相及候事
不相叶
不相叶候段
不相知候事
不相見候事
不罷出人
不罷出候事
不被差上候事
不被差出候事
不被成御座候
不被渡御目候事
不被為
不被為請候事
不被相叶
不被相叶候事
不被相叶由
与
与風
且
且又
両
両人
並
之
之上
之上之事
之上被相達候
之事
之人
之例ニ
之候節事
之儀
之儀ニ付
之内
之処
之御之（ママ）事
之所
之旨
之旨ニ付
之末
之段
之由
之由ニて
之由申来候事
之筈
之節
之節之事
之義
之義ニ付
之義ハ
之者共
之訳を以
之通
之通之事
之通事
也
了
事
二付
井
仕候事
仕候付
仕候様
仕候段
仕度御暇願之事
他国之者
付
付て之事
付之者
付候
代々
以
仰
仰付
仰付之事
仰付候事
仰付被候事
仰入
仰出
仰出之事
仰渡
仰渡之事
仰渡候事
仰聞セ
仰聞之事
仰聞事
伺之事
伺候
伺御機嫌之事
何かし
何れも
何分
何方
何某
例
例之
例之通
例之通之事
例之通事
例年
例年之通
例通事
依
依之
依願
侯
修行之事
候
候へ共
候ヘハ
候事
候付
候儀有之
候処
候様
候様之事
候様御達之事
候段
候由
候節
候謂
傍諸役々
儀
元之いつれ
元之所
元之通
先以
先達て
先頃
入門之事
其外
其外之事
其外事
其段
其筋
其通
兼
兼て
兼達
処
出之事
出立之事
出立事
初
初て
初而
到来事
到着之事
到着事
到着候事
則
前断之儀
前断之義
前断之通之事
前段之義ニ付
勤之事
半
去ル
参事
参会之事
参候事
又々
及
及大破候付
及破船候由
双方
取敢
取調子
召連越候様申遣相成候へ共
可然旨
可被仰付
可被遊由事
右
右に付
右ニ付
右ニ付て
右ニ付御祝之事
右一通
右之事
右之末
右之者
右之通
右二付
右同
右同段事
右就
右為
右通
右類等
各方
同
同一
同人
同人宅
同公
同前
同宅
同寺
同山
同役
同所
同様
同番
同社
同詰
吹出候事
唱事
地
埒付候付
堅固相勤
奉疼入
如
如件
如例
始
委細
守備克候様
尋之事
少々
少将
尤
就
居候
差
差上候事
差出事
差出候事
差控被居候
差越候事
