なべしま
なべしま村
なべ島村
なら崎村
一ノ橋
一ノ瀬山
一番ヶせ山
丁太田村
丁牟田村
七浦
三ツ溝
三ツ溝村
三ヶ島村
三反田
三反田宿
三反田山
三反田村
三方潟片白
三本松村
三根郡大島村
三津村
三溝宿
三溝新村
三溝村
三瀬宿
三瀬山
三重村
上下村
上中杖町
上九郎名村
上力武村
上古賀村
上和泉村
上姉川村
上小副川山
上松山
上泉村
上芦村
上芦町
上西村
上飯盛村
上高木宿
上高木村
下ノ関詰
下九郎名村
下今宿
下今宿村
下今宿町
下古賀村
下大津村
下大町村
下姉川村
下小副川山
下小田
下小田新村
下戸川村
下戸田村
下村
下武村
下泉村
下渕村
下砥川村
下竹村
下野不働島村
下野中村
下野村
下飯盛村
下高木宿
下高木村
与賀上町村
与賀中島村
与賀中村
与賀坂井村
与賀大野村
与賀搦村
与賀田中村
与賀船津
与賀馬場
中ノ小路
中ノ橋
中ノ橋小路
中佐賀郷下村
中佐賀郷中田代村
中原村
中古賀村
中島村
中島町
中折村
中津村
中津隈村
中町
中野村
中飯盛村
丸目村
久々牟田村
久保山
久保田
久保田宿
久保田搦
久保田村
久保田横江村
久原村
久地井村
久富村
久池井村
久町村
乙□明村
九丁分村
九郎名村
五領村
井手ノ原山
井手村
仁比山
今宿町
今宿裏
今宿裏小路
今村
今泉村
今津
今町
今町村
伊万里
伊万里下町
伊万里津
伊万里郷中ノ原山
伊万里郷山形宿
伊万里黒尾宿
伊勢屋本町
伊勢屋町
伊賀屋村
会所
会所小路
住吉中村
住吉村
佐留志宿
佐留志村
佛坂
作リ土井村
修リ田村
修理田村
倉谷山
倉谷村
元町
元町村
元相応村
光円寺馬場
光増津
光増津三丁分
光法村
八丁馬場
八幡
八幡小路
八戸坂井村
八戸宿
八戸新宿
八戸村
八戸溝新村
八戸溝村
八田
八田宿
八田本村
八田村
八龍村
六丁牟田村
六反田村
六座村
六座町
六田宿
六角
六角宿
出羽村
力武村
力田村
加与丁村
勢屯
勢屯町
北十間端
北原村
北堀端
北島村
北御堀端
北村
北横山大小熊村
十五
十五村
十重村
十間端
千布宿
千布村
千栗
千栗石貝村
南御堀端
南里村
厘外平松村
厘外村
厘外津
厘外町
厘外西分中村
厘外西分村
厳木村
古勢郷柳原村
古勢郷草場村
古瀬下村
古瀬柳原村
古瀬郷下中村
古瀬野中村
古賀村
名原村
名尾原山
名尾山
名尾村
名尾棧木村
向島村
呉服町
和崎村
和泉村
咾分村
唐人新町
唐人町
唐幸原村
嘉与丁村
嘉瀬中原村
嘉瀬元町
嘉瀬北島村
嘉瀬十五村
嘉瀬宿
嘉瀬新村
嘉瀬新町
嘉瀬津
嘉瀬町
嘉瀬郷福富村
国分村
土井古賀村
土井名原村
土井川
土井村
土井郷村
土古賀村
土生村
坂井村
坂田村
坪ノ上村
坪上村
城ノ前
城原村
城土井村
堤津
塩田宿
塩田町
塩田郷大牟田村
境原宿
境原村
境村
増田村
夕日町
多久屋敷
多久納所村
多布せ町
多布施
多布施下村
多布施大島
多布施新宿
多布施新村
多布施村
多布施町
多良駅
大ノ原
大中島
大中島村
大久保村
大井樋
大井樋村
大堂村
大堂津
大小野村
大島村
大崎宿
大崎村
大川内山
大曲村
大津村
大町
大町宿
大石村
大立野村
大詫間
大詫間村
大財村
大野村
天佑寺町
天健寺村
天祐寺前
天祐寺町
天祐寺門前
天草江村
太田村
妙安寺
妙安寺小路
姉川村
姉村
嬉野
嬉野宿
子々森村
安住村
安郎宿
実久村
室島村
宮ノ丁
寄人村
寒水宿
寺井
寺井堤津
寺小路
寺町
小副川山
小城中町
小城今山村
小城勝ヶ里
小城横町
小城浦町
小城竹原村
小城郡今古賀村
小城郡今山村
小城郡名原村
小城郡名張村
小城郡大野村
小城郡小隈村
小城郡袴田ヶ里
小城郡西郷
小川内山
小川村
小杭村
小渕村
小田宿
小田村
小里村
尼寺村
尾崎村
尾崎池副村
尾崎郷花土井村
山代郷古田村
山代郷川内野村
山内一ノ谷村
山内不動村
山内仏坂村
山口村
山口西分村
山津村
山浦
山田村
山領村
岩屋村
岩田村
岩田村詰
岸川村
岸川町
崎村
川上宿
川久保
川久保宿
川久保村
川久保草場村
川副吉村
川副坂井村
川副増田村
川副田中村
川副福富村
川副船津
川原
川原小路
川古宿
川寄村
川床村
巨勢
巨勢中牟田村
市原村
市場
平八搦
平尾村
平松村
平田村
平野村
幸津村
広坂村
広江
広江村
広江津
広滝山
広瀧山
廻リ村
廻リ津
廻里
廻里村
廻里津
弟子丸町
御城内
御用屋敷
徳万宿
徳万町
徳善村
徳富村
徳富津
徳富郷津
徳永宿
徳永村
志波屋村
志田山
志田東山
快楽村
思案橋
惣座宿
愛敬島
愛敬島村
愛敬島町
成瀬宿
戸ヶ里村
戸川宿
扇町
扇町村
搦津
新地
新宮ノ前
新宮田
新庄
新庄増田村
新庄村
新庄郷増田村
新庄郷森田村
新搦津
新町
新郷村
新馬場
早津江
早津江村
星熊村
春日村
晴気
晴気宿
晴気村
有ノ木村
有田山
有田皿山
有田郷曲川村
有重村
有重津
服卷山
服巻山
朝日村
木ノ角村
木原古賀村
木原宿
木原村
木原町
木塚
木塚小路
木角村
木ﾉ角村
末次村
末次東分村
末次満穴村
末次西分村
本庄
本庄向町
本庄村
本庄溝口村
本庄町
本庄竹下村
本庄通
本庄通小路
本庄高柳村
本新庄村
本相応村
本行寺
本行寺小路
材木町
材木蔵番
材木裏町
来迎寺村
東中野村
東八田宿
東八田村
東原村
東古賀村
東名村
東山田村
東新庄村
東新庄町
東渕宿
東渕村
東西村
東野ヶ里
東高木村
東魚町
松原
松原小路
松山
松本村
松瀬山仏坂村
松隈村
林慶村
枝吉村
枝吉町
枝吉町村
枳小路
枳馬場
柚木村
柳町
桃川村
梅野山
森田村
椎
椎場
椎小路
楠久
楠久津
楠久牧島
楢崎村
樋口ヶ里
権原宿
権現原
権現原宿
権現原村
横武村
横田川原
横田村
横辺田惣領分
橋津
正丹
正里村
武藤村
水ヶ江
水町村
永池村
永里村
江上村
江上町
江口村
江島村
江湖場
江熊野宿
江熊野村
江見村
江見津
江迎村
江里村
江頭村
池ノ上村
池ノ峠
池上村
泉村
泰安
泰安小路
泰長寺門前
泰長院門前
津町
浄土寺
浄土寺小路
浮盃
浮盃津
深堀
深堀有海津
深堀詰
深浦
深町村
深通村
渡瀬村
渡都城宿
湯ノ木村
溝口村
灰塚村
灰塚町
点合町
点屋町
為重村
熊川村
片田江
片田江小路
牛尾村
牛島新村
牛島村
牛島町
牛津
牛津宿
牛津新町
牛津本町
牛王村
牟田寄新村
牟田寄村
犬井道
犬井道村
犬堂村
犬尾
犬尾村
犬童村
猶（楢ヵ）崎村
瓦屋敷村
田中村
田代
田代小路
田代新村
田代村
田手宿
田手村
田道ヶ里
畑瀬山
畑田宿
白土井村
白壁村
白山町
白石
白石伏原村
白石八丁村
白石六ヶ里
白石冬野村
白石原村
白石原田村
白石室島村
白石廻リ村
白石深浦村
白石深通村
白石牛間田村
白石田ノ上村
白石福富西分村
白石秀津
白石稲佐村
白石築切村
白石辺田村
白石辺田町
白石高町
白石高町村
白金土井村
百石村
皿山
目達原宿
相応村
相応津
矢矧町
石動村
石塚村
石長寺
石長寺小路
砥川宿
砥川新宿
砥川村
礫石村
祖子分村
神埼
神埼宿
神埼町
神埼郡横岳村
神埼郡花手村
神埼郡菅生村
神埼郡野目ヶ里
神納村
神野村
福吉村
福富村
福島村
福母村
福田村
福田野町村
立石村
立野村
竜泰寺
竹原村
竹崎村
箱川村
築切村
米屋町
米納津村
精小路
精町
紺屋町
綾部
綾部村
綾部郷高柳村
脇津詰
船津
船津今町
船津村
芦刈
芦町
花房
花房小路
苔野村
若宮原
若宮原村
若宮村
草原村
草場村
荻野村
萩野村
萩（荻ヵ）野村
落手橋
蒲原宿
蒲田江津
蓮池
蓮池三島村
蓮池本町
蓮池町
蓮池神埼町
蓮池魚町
薙野山
薬師丸村
藤ノ倉山
藤ノ倉村
藤ノ原山
藤ノ木村
藤木村
藤津郡母ヶ浦
藤津郡西牟田村
蘭干
蛎久宿
蛎久村
袋村
袴ヶ里
西ノ船津
西中野村
西今宿
西八田宿
西八田村
西南里村
西古賀村
西尾崎村
西山田村
西川内村
西御堀端
西新庄村
西正丹
西河内村
西渕村
西石動村
西神野村
西精
西舟津
西船津
西魚村
西魚町
角町村
評定所番宅
詫田村
詫田津
諫早木々津村
諫早永昌宿
諫早福田村
諫早西永田村
諫里村
諸富村
諸富津
豆津
轟木
轟木宿
辻ノ堂
迎島
迎町
通小路
道免新村
道免村
道祖元町
都渡城宿
都渡城村
重久村
野々古賀村
野口村
野田村
野町村
野込郷伊福村
金立山
金立村
鍛冶屋村
鍛冶屋町
鍛治屋村
長崎
長瀬村
長瀬町
長者原
関屋山
関谷山
阿弥陀院
阿高村
音成浦
飯町村
飯盛村
