100年
10年
10日
10月
11日
11月
12日
12月
13日
14日
15日
16日
17日
18日
19日
1日
1月
205年
20日
25年
27日
2日
2月
30日
3年
3日
3月
4日
4月
50年
5日
5月
6日
6月
7年
7日
7月
8日
8月
9日
9月
一昨
一昨日
七日
七時
七時頃
三十日
三日
三日四日
三日夕
三月
上十九日
下刻
九ツ半時
九半時
九日
九時
九月
二夜三日
二月
五三年
五半時
五日
五時前
五節句
享保
今
今夕
今夕七ツ時
今夜
今宵
今度
今廿五日
今日
今明両日
今昼
今晩
今暁
今月
今朝
今般
元会
元文
元日
先年
先日
先月
先月十三日
先月十二日
先月十五日
先月十六日
先月十日
先月廿三日
先月廿九日夜
先月廿八日
先達て
先頃
八ツ時
八日
八日九日十日
八時
八時過
八月
六日
冬
則日
則晩
十一月
十七夜
十七日
十三日
十九日
十二日
十五日
十八日
十日
十月九日
卅日
午年
半時
卯
卯月
去
去々年
去ル
去ル六日
去七日
去三日
去八日
去八月
去冬
去十九日
去十四日
去十日
去年
去春
去暮
去月
去月十八日
去月廿三日
去月廿日
去秋
同九日
同夜
四時過
四月十七日
四月十三日
四月十九日
四月十五日
四月廿一日
四月朔日
夕八半時
夕方
大雪
天福
子
宝永2年
年内
年始
年忘
年頭
廿一日
廿七日
廿三日
廿九日
廿二日
廿五日
廿八日
当九月
当二月
当夏
当年
当日
当春
当暮
当月
当秋
御昼
旧冬
旧臘
明七日
明五日
明八日
明四日
明年
明廿六日
明廿四日
明後十九日
明日
明正月
昨十七日
昨夜
昨日
晦日
暑中
暮
暮時
朔日
朝七ツ
来ル八日
来二月
来六月
来十三日
来十五日
来年
来廿四日
来春
正五九月
正徳
正月
此節
此間
歳ノ夜
歳夜
歳暮
毎年
毎月
端午
翌七日
翌四日
興国
辰上刻
近く
近日
開明
閏
霜月
頃日
