一村半三郎
一村半之允
一村半四郎
一村平吉郎
一村恵七
一村東五郎
一村武兵衛
一村藤蔵
一村頼助
一番ケ瀬勘左衛門
一番ヶ瀬三右衛門
一番ヶ瀬久兵衛
一番ヶ瀬二右衛門
一番ヶ瀬伊十
一番ヶ瀬伝次郎
一番ヶ瀬勘左衛門
一番ヶ瀬啓右衛門
一番ヶ瀬嘉右衛門
一番ヶ瀬四郎左衛門
一番ヶ瀬林蔵
一番ヶ瀬良右衛門
一番ヶ瀬良左衛門
七島市之佑
七田三之允
七田与右衛門
七田作大夫
七田作太夫
七田勘兵衛
七田和介
七田和助
七田武吉郎
七田藤右衛門
三ヶ島一左衛門
三ヶ島与四左衛門
三ヶ島五郎右衛門
三ヶ島亦右衛門
三ヶ島伝右衛門
三ヶ島勝之助
三ヶ島半兵衛
三ヶ島又兵衛
三ヶ島又右衛門
三ヶ島喜右衛門
三ヶ島太蔵
三ヶ島孫介
三ヶ島新之丞
三ヶ島新之允
三ヶ島新左衛門
三ヶ島杢右衛門
三ヶ島清右衛門
三ヶ島瑳吉郎
三ヶ島興介
三ヶ島要三郎
三上七左衛門
三上与左衛門
三上与惣右衛門
三上与惣左衛門
三上九兵衛
三上兵作
三上又十
三上喜兵衛
三上寿兵衛
三上巳五郎
三上平八
三上惣右衛門
三上新九郎
三上新助
三上氏右衛門
三上源五左衛門
三上源吾
三上良右衛門
三上茂左衛門
三上覚右衛門
三久
三位善兵衛
三位善左衛門
三位栄太夫
三位甚蔵
三位虎吉郎
三位順蔵
三原弥平次
三好三蔵
三好久次郎
三好九右衛門
三好五右衛門
三好伊兵衛
三好伊十
三好儀七
三好儀平
三好兵左衛門
三好内蔵
三好勘兵衛
三好勘十郎
三好勘左衛門
三好卯三郎
三好只右衛門
三好喜兵衛(孫)
三好嘉一郎
三好孫平
三好孫次郎
三好安右衛門
三好左馬之進
三好左馬進
三好平吉
三好庄左衛門
三好弥兵衛
三好弥助
三好弥左衛門
三好弥平
三好忠右衛門
三好忠蔵
三好政七
三好松右衛門
三好次兵衛
三好清次郎
三好甚左衛門
三好藤蔵
三好虎之助
三好覚右衛門
三好覚左衛門
三好角太夫
三好貞吉
三好重次郎
三好長兵衛
三島儀右衛門
三島幸次郎
三島権蔵
三枝松与四松
三枝松与四松(代)
三枝松平十
三根喜助
三浦与兵衛
三浦丹右衛門
三浦伊恵助
三浦兵太夫
三浦利右衛門
三浦利左衛門
三浦勘作
三浦半左衛門
三浦吉太夫
三浦喜悦
三浦孫右衛門
三浦宗八
三浦平之允
三浦平八
三浦平兵衛
三浦平四郎
三浦平馬
三浦弥八郎
三浦彦右衛門
三浦忠五郎
三浦忠助
三浦恵八
三浦恵助
三浦惣八
三浦才右衛門
三浦新八
三浦次兵衛
三浦治兵衛
三浦治右衛門
三浦治左衛門
三浦治部右衛門
三浦治部左衛門
三浦清九郎
三浦清兵衛
三浦渕蔵
三浦百兵衛
三浦興兵衛
三浦藤兵衛
三浦金四郎
三溝兵左衛門
三溝和三郎
三瀬八右衛門
三瀬源兵衛
三瀬長兵衛
三田昌仙
三田玄仙
三谷七兵衞
三谷与八
三谷与次兵衛
三谷作之進
三谷六右衛門
三谷利右衛門
三谷助右衛門
三谷千助
三谷千十
三谷千左衛門
三谷吉十郎
三谷嘉弥太
三谷官十
三谷次兵衛
上原官右衛門
上原郡蔵
上妻半助
上村周聘
上村春庵
上村淳庵
上瀧久五郎
上瀧利助
上瀧十左衛門
上瀧孫兵衛
上瀧平治
上瀧弥一郎(孫)
上瀧弥兵衛
上瀧忠助
上瀧甚右衛門
上瀧甚吾
上瀧要助
上瀧調兵衛
上野一郎左衛門
上野七郎左衛門
上野三郎右衛門
上野与八
上野乕之助
上野九兵衛
上野九左衛門
上野五郎左衛門
上野伊与助
上野伊兵衛
上野儀七
上野八左衛門
上野八郎左衛門
上野兵助
上野利兵衛
上野利右衛門
上野助十
上野十郎右衛門
上野十郎左衛門
上野半之允
上野壮左衛門
上野外記
上野孫右衛門
上野孫左衛門
上野左源太
上野左轉太
上野市郎左衛門
上野平大夫
上野政十
上野政右衛門
上野源四郎
上野源蔵
上野篠之助
上野茂助
上野藤七
上野長兵衛
下村一兵衛
下村七之允
下村七兵衛
下村七右衛門
下村七郎左衛門
下村丈兵衛
下村丈兵衛(跡)
下村三郎兵衛
下村三郎兵衞
下村三郎太夫
下村三郎左衛門
下村与兵衛
下村与四右衛門
下村与四郎
下村久兵衛
下村久兵衛(跡)
下村乕次郎
下村九郎右衛門
下村伊兵衛
下村伊平次
下村伝十
下村伝左衛門
下村作兵衛
下村儀一郎
下村儀兵衛
下村儀左衛門
下村八兵衛
下村八十右衛門
下村八十次郎
下村八右衛門
下村八左衛門
下村八郎右衛門
下村八郎左衛門
下村六郎右衛門
下村六郎左衛門
下村兵大夫
下村兵太夫
下村利助
下村加兵衛
下村勘平
下村勝兵衛
下村勝次郎
下村又四郎
下村又市郎
下村吉蔵
下村善左衛門
下村喜伝太
下村喜太郎
下村嘉兵衛
下村嘉左衛門
下村嘉源次
下村大助
下村大十郎
下村孫十
下村孫右衛門
下村宇右衛門
下村安右衛門
下村安左衛門
下村官蔵
下村定四郎
下村宣太郎
下村小一郎
下村小十郎
下村峯吉
下村左一郎
下村左馬之助
下村左馬助
下村平七
下村平六
下村広三郎
下村庄大夫
下村庄左衛門
下村弥三郎
下村弥兵衛
下村弥助
下村形右衛門
下村忠助
下村忠太夫
下村忠左衛門
下村政七
下村文五郎
下村文吉
下村文左衛門
下村文蔵
下村杢右衛門
下村権八
下村権左衛門
下村正太夫
下村武右衛門
下村武左衛門
下村清兵衛
下村清蔵
下村源一郎
下村源八郎
下村源兵衛
下村源右衛門
下村源吉郎
下村源次左衛門
下村祐左衛門
下村祐平
下村良左衛門
下村良意
下村藤八
下村藤右衛門
下村藤吉
下村藤大夫
下村藤太夫
下村要人
下村覚右衛門
下村金蔵
下村鉄之允
下村長右衛門
下村隼見
下田八十吉
不動寺半兵衛
不動寺平兵衛
不動寺源右衛門
世良九兵衛
世良市右衛門
並江丈作
並江善太夫
並江次郎右衛門
中五郎右衛門
中原七兵衛
中原与次兵衛
中原丹次
中原久兵衛
中原伊三郎
中原作兵衛
中原八太郎
中原吉兵衛
中原喜三左衛門
中原喜三郎(孫)
中原喜惣左衛門
中原嘉兵衛
中原孫十
中原安右衛門
中原官平
中原専助
中原平兵衛
中原庄兵衛
中原弥七
中原彦次郎
中原忠兵衛
中原清左衛門
中原清次郎
中原祐右衛門
中原藤三郎
中原藤十
中原藤右衛門
中原長大夫
中園又兵衛
中園重蔵
中園長右衛門
中地伊勢次郎
中地卯三郎
中地又兵衛
中地又四郎
中地小右衛門
中地市大夫
中地平之進
中地平左衛門
中地弥六左衛門
中地清次郎
中地清蔵
中地茂兵衛
中尾勘助
中尾忠右衛門
中尾林平
中尾武十
中尾繁右衛門
中尾長右衛門
中山一兵衛
中山一左衛門
中山丈之進
中山久悦
中山二兵衛
中山伊兵衛
中山伊右衛門
中山伝太郎
中山元右衛門
中山助右衛門
中山勘八
中山喜兵衛
中山嘉兵衛
中山多兵衛
中山宗平
中山小仲太
中山小吉郎
中山市兵衛
中山平四郎
中山弥次兵衛
中山文五郎
中山文右衛門
中山文左衛門
中山新助
中山新次左衛門
中山次右衛門
中山次左衛門
中山次郎作
中山武十
中山治兵衛
中山清蔵
中山理兵衛
中山理兵衛(跡)
中山萬右衛門
中山藤之允
中山藤吉郎
中山貞十
中島一郎次
中島七兵衛
中島三左衛門
中島三郎次
中島与一
中島与七
中島久兵衛
中島久蔵
中島九兵衛
中島亀助
中島二兵衛
中島二左衛門
中島五右衛門
中島五郎右衛門
中島伊三郎
中島伊之助
中島伊六
中島伊兵衛
中島伊助
中島伊左衛門
中島伝三郎
中島伝八
中島伴右衛門
中島伸助
中島佐次馬
中島作之允
中島作兵衛
中島作右衛門
中島儀一兵衛
中島儀左衛門
中島儀平太
中島元市郎
中島六右衛門
中島六郎太夫
中島兵右衛門
中島兵蔵
中島内蔵之允
中島内蔵允
中島判平
中島利兵衛
中島利助
中島利右衛門
中島利左衛門
中島利平
中島助右衛門
中島勘兵衛
中島勘助
中島勘左衛門
中島勘次
中島勝十
中島勝右衛門
中島勝左衛門
中島勢兵衛
中島十之允
中島十右衛門
中島十平
中島十郎
中島十郎兵衛
中島半之允
中島半助
中島半平
中島卯兵衛
中島又兵衛
中島友三郎
中島和三郎
中島和兵衛
中島和平
中島善七
中島善之助
中島善九郎
中島善五左衛門
中島善五郎
中島善兵衛
中島善右衛門
中島善大夫
中島善太夫
中島善蔵
中島喜一郎
中島喜三郎
中島喜兵衛
中島喜左衛門
中島喜市
中島喜平
中島喜平次
中島嘉兵衛
中島嘉大夫
中島嘉太郎
中島嘉津右衛門
中島太一
中島太蔵
中島太郎右衛門
中島太郎左衛門
中島安左衛門
中島官左衛門
中島小兵衛
中島岩吉郎
中島左五郎
中島左次間
中島左次馬
中島左源太
中島市之允
中島市兵衛
中島市太夫
中島常一郎
中島常吉
中島平七
中島平之允
中島平八
中島平兵衛
中島幸大夫
中島幸太夫
中島庄助
中島庄右衛門
中島庄蔵
中島弥三
中島弥三郎
中島弥二兵衛
中島弥兵衛
中島弥十郎
中島弥右衛門
中島弥大夫
中島弥太夫
中島弥左衛門
中島弥次兵衛
中島弥次郎
中島形部左衛門
中島彦右衛門
中島忠兵衛
中島忠兵衛(孫)
中島忠助
中島忠右衛門
中島忠四郎
中島忠左衛門
中島忠平
中島忠蔵
中島惣兵衛
中島惣助
中島惣右衛門
中島惣太左衛門
中島慈超
中島文作
中島文右衛門
中島文大夫
中島文左衛門
中島文蔵
中島新八郎
中島新左衛門
中島新平
中島杢兵衛
中島杢右衛門
中島杢右衞門
中島杢左衛門
中島東内
中島松助
中島林太夫
中島栄蔵
中島権之助
中島権平(孫)
中島次兵衛
中島次平
中島武一郎
中島武十
中島武左衛門
中島治平
中島清七
中島清五左衛門
中島清兵衛
中島清右衛門
中島清吉
中島清吾
中島清太
中島満松
中島源一郎
中島源助
中島源右衛門
中島源太夫
中島源太左衛門
中島源太郎
中島源蔵
中島瀬兵衛
中島熊一郎
中島熊吉
中島玄六
中島甚九郎
中島甚五左衛門
中島甚作
中島甚助
中島甚左衛門
中島祐右衛門
中島祐右衛門(跡)
中島竹吉郎
中島義助
中島義太夫
中島良蔵
中島茂十
中島茂右衛門
中島荒三郎
中島藤兵衛
中島藤吉
中島藤太夫
中島要七
中島覚兵衛
中島辰之助
中島進士兵衛
中島達蔵
中島郡平
中島重五郎
中島金吾
中島金左衛門
中島長右衛門
中島靍次郎
中島順平
中島駒次郎
中嶌権右衛門
中川与兵衛
中川儀右衛門
中川吉左衛門
中川善右衛門
中川宗助
中川寛右衛門
中川忠次郎
中川惣兵衛
中川慶也
中川文介
中川新助
中川春庵
中川林右衛門
中川武右衛門
中川治右衛門
中川甚右衛門
中川良助
中川達之進
中川雲庵
中村一之助
中村一郎次
中村丈蔵
中村与右衛門
中村与次右衛門
中村九兵衛
中村九左衛門
中村五右衛門
中村五郎右衛門
中村仁左衛門
中村伊兵衛
中村伊助
中村伝蔵跡
中村作四郎
中村儀左衛門
中村八兵衛
中村兵之允
中村兵右衛門
中村利八郎
中村利助
中村剛太郎
中村力之允
中村助右衛門
中村勇吉
中村勘之允
中村勘二
中村勘兵衛
中村勘十(孫)
中村勘左衛門
中村半九郎
中村半兵衛
中村卯之助
中村和七
中村和七(孫)
中村和三郎
中村和助
中村和吉
中村善太郎
中村善左衛門
中村善蔵
中村喜三太
中村喜助
中村大助
中村安太郎
中村宗務
中村寛太夫
中村左平太
中村市兵衛
中村市郎次
中村平八(跡)
中村平八郎
中村平太夫
中村庄右衛門
中村庄次郎
中村弥三郎
中村弥助(孫)
中村弥太郎
中村弥市
中村弥惣次
中村形右衛門
中村彦一郎
中村彦之允
中村彦之進
中村彦兵衛
中村彦蔵
中村忠次兵衛
中村恒之助
中村惣右衛門
中村惣吉
中村文右衛門
中村文平
中村文蔵
中村新右衛門
中村新左衛門
中村林三郎
中村梅次郎
中村次兵衛
中村次郎右衛門
中村武一郎
中村武七
中村治兵衛
中村清右衛門
中村清四郎
中村清蔵
中村源五左衛門
中村源市
中村猪兵衛
中村甚兵衛
中村甚四郎
中村良助
中村藤蔵
中村貞右衛門
中村道太郎
中村長務
中村長十
中村長太夫
中村長蔵
中村関之允
中村龍吉
中林五郎右衛門
中林佐七
中林保之助
中林十郎兵衛
中林左七
中林新三郎
中林新兵衛
中林新左衛門
中林武大夫
中林武左衛門
中根伝三郎
中橋五郎右衛門
中橋伊兵衛
中橋伊勢之助
中橋八兵衛
中橋勘兵衛
中橋半左衛門
中橋又四郎
中橋又蔵
中橋善兵衛
中橋四郎右衛門
中橋左内
中橋平兵衛
中橋平次兵衛
中橋幸大夫
中橋弥三郎
中橋弥助
中橋弾之允
中橋彦三郎
中橋惣兵衛
中橋惣左衛門
中橋文太夫
中橋栄次郎
中橋清兵衛
中橋源右衛門
中橋藤一郎
中橋金兵衛
中橋頼蔵
中次兵衛
中次兵衛尉
中溝一佐
中溝一郎次
中溝七右衛門
中溝七左衛門
中溝三代吉
中溝与七
中溝与助
中溝与左衛門
中溝与市兵衛
中溝久三郎
中溝乙右衛門
中溝五兵衛
中溝五左衛門
中溝伊兵衛
中溝伊惣次
中溝伝左衛門
中溝作市
中溝作平
中溝信助
中溝儀左衛門
中溝判兵衛
中溝利三郎
中溝勇次郎
中溝千兵衛
中溝半兵衛
中溝卯右衛門
中溝和十
中溝善兵衛
中溝善右衛門
中溝喜兵衛
中溝多吉
中溝大之助
中溝孫七
中溝孫右衛門
中溝孫右衛門(跡)
中溝安之進
中溝安兵衛
中溝安右衛門
中溝官蔵
中溝平七
中溝平兵衛
中溝平大夫
中溝平蔵
中溝幸吉
中溝広助
中溝弥三
中溝弥十
中溝弥左衛門
中溝弥市(孫)
中溝忠右衛門
中溝忠太夫
中溝恵助
中溝惣兵衛
中溝文一郎
中溝新之允
中溝新兵衛
中溝新右衛門
中溝杢兵衛
中溝杢右衞門
中溝杢左衛門
中溝栄一郎
中溝栄助
中溝栄蔵
中溝極馬
中溝次郎助
中溝治左衛門
中溝清左衛門
中溝清蔵
中溝源之進
中溝源六
中溝源兵衛
中溝源助
中溝理兵衛
中溝甚右衛門
中溝竹一郎
中溝茂七
中溝茂八
中溝袈裟太郎
中溝要次郎
中溝郡三
中溝郡左衛門
中溝郡平
中溝長兵衛
中溝長次兵衛
中溝順助
中溝龍右衛門
中牟田七郎兵衛
中牟田三左衛門
中牟田久之允
中牟田亦助
中牟田伊兵衛
中牟田作右衛門
中牟田倉之助
中牟田助右衛門
中牟田勝十
中牟田半助
中牟田又七
中牟田又兵衛
中牟田又助
中牟田又十
中牟田善十
中牟田善吉
中牟田安十
中牟田岡一郎
中牟田市平
中牟田常吉
中牟田平十
中牟田平次郎
中牟田新兵衛
中牟田新平
中牟田杢右衞門
中牟田梅吉
中牟田権蔵
中牟田武兵衛
中牟田清之丞
中牟田清蔵
中牟田源太左衛門
中牟田源蔵
中牟田祐助
中牟田竹右衛門
中牟田藤吉
中牟田貞兵衛
中牟田貞十
中牟田長吉
中薗与兵衛
中西
中西七三
中西六右衛門
中西六右衛門(跡)
中西利助
中西加兵衛
中西十右衛門
中西十郎右衛門
中西又左衛門
中西善右衛門
中西善左衛門
中西喜兵衛
中西嘉六
中西平之進
中西平大夫
中西平太夫
中西幸右衛門
中西幸左衛門
中西庄五郎
中西新七
中西杢右衛門
中西杢左衛門
中西権兵衛
中西治左衛門
中西清助
中西近左衛門
中西金左衛門
中西龍右衛門
中野七郎右衛門
中野万太郎
中野丈左衛門
中野三郎兵衛
中野与兵衛
中野与四之介
中野主馬助
中野久之丞
中野久之允
中野乕之助
中野乕吉郎
中野九郎兵衛
中野二右衛門
中野五左衛門
中野五郎兵衛
中野伊兵衛
中野伝五
中野伝吾
中野伴右衛門
中野佐平太
中野佐次右衛門
中野作左衛門
中野儀助
中野儀右衛門
中野儀平次
中野元立
中野八兵衛
中野八右衛門
