■凝山
□大石村
　　　山
かい子村
ごひん村
一ノ坪村
一乗山
一心山
一枝山
一番ケ瀬山村
一行山
丁久米ケ里
丁大田村
丁太田村
七寳山
七嶋之分
七嶋郷
七日町
七段林村
七浦
七浦郷
七田村
七騎谷村
万年山遍照院
万福寺村
三ケ崎村
三ケ嶋ケ里村
三ケ月郷
三ツ溝村
三ヶ島ヶ里
三ヶ崎村
三ヶ嶋ケ里
三ヶ嶋ケ里村
三ヶ嶋ヶ里
三丁分村
三丁分津
三学山
三岳寺領村
三川内村
三恩山
三日月郷
三本松村
三根村
三根郡
三根郡下津毛村
三根郡中津隈村
三根郡前牟田村
三根郡千栗山
三根郡千栗村
三根郡原古賀村
三根郡坊所村
三根郡堤村
三根郡寒水村
三根郡屋形原村
三根郡江見村
三根郡白壁村
三根郡矢俣村
三根郡石井庄
三根郡米多村
三根郡米田村
三根郡続命院村
三根郡綾部村
三根郡船石村
三根郡西尾村
三根郡西島村
三根郡豆津村
三段田村
三江村
三河内村
三法方村
三法方郷
三法潟郷
三津村
三津東分村
三浦村
三溝宿
三溝村
三瀬山村
三瀬村
三王山
三町分
三町分村
三町籠芦野
三重村
三間坂村
三間寺村
三間寺領村
三間屋村
三間山
三陽山
上ノ原村
上ノ宿
上ノ庄
上三津村
上三津東分
上三津西分
上三津西分村
上下村
上不動山村
上中丈村
上中杖村
上久間村
上久間野川山村
上久須ケ里
上九郎名村
上仁戸田村
上今宿町
上今宿町　
上佐嘉
上佐嘉上郷
上佐嘉下郷
上六丁牟田村
上南川原山
上厘外村
上古江田村
上古賀村
上合瀬山村
上合瀬村
上吉田村
上和泉村
上和田村
上品山
上坊村
上場村
上多久庄
上多久村
上大町村
上大豆田村
上姉下分
上姉川上分
上姉川上分村
上姉川下分
上姉川下分村
上姉川村
上姉川東分
上姉川東分村
上安永村
上小副川山村
上小副川村
上小副河村
上小田村
上小田町
上山口村
上山谷村
上岩屋村
上市川山村
上幸平山
上幸平村
上徳永村
上戸川村
上戸田村
上杠山村
上杠村
上東郷
上栗原ケ里
上梅野山村
上江良ケ里
上江良ケ里村
上江良ヶ里
上泉山
上泉村
上浦村
上瀧山
上瀧村
上無津呂山村
上無津呂村
上熊川村
上田村
上町村
上畑村
上直鳥村
上直鳥東分
上直鳥東分村
上直鳥西分
上直鳥西分村
上石動村
上砥川村
上神代村
上竹原村
上織嶋ケ里
上芦町
上芦町　
上蓑具村
上藤ケ里
上藤ケ里村
上藤ヶ里
上藤原山村
上藤原村
上西ノケ里
上西山村
上西郷
上西野ケ里
上西野ケ里村
上西野ヶ里
上豆田村
上賀瀬村
上里外村
上野村
上関屋山村
上関屋村
上飯盛村
上高木村
上黒井村
上黒木村
下ノ原村
下ノ宿村
下三津村
下三津東分
下三津東分村
下三津西分
下三津西分村
下不動山村
下中丈村
下中杖村
下久米ヶ里
下久間村
下久間野川山村
下久須ケ里
下久須ケ里村
下九郎名村
下仁戸田村
下今宿堀端小路　三番
下今宿堀端小路　五番
下今宿堀端小路　六番
下今宿堀端小路　又三番
下今宿堀端小路　又四番
下今宿堀端小路　又壱番
下今宿堀端小路　又弐番
下今宿堀端小路　四番
下今宿堀端小路　壱番
下今宿堀端小路　弐番
下今宿堀端小路北側　壱番
下今宿堀端小路北側　弐番
下今宿町
下今宿町　
下今宿裏小路北側　三番
下今宿裏小路北側　五番
下今宿裏小路北側　四番
下今宿裏小路北側　壱番
下今宿裏小路北側　弐番
下今宿裏小路南側　七番
下今宿裏小路南側　三番
下今宿裏小路南側　九番
下今宿裏小路南側　五番
下今宿裏小路南側　八番
下今宿裏小路南側　六番
下今宿裏小路南側　十一番
下今宿裏小路南側　十二番
下今宿裏小路南側　十番
下今宿裏小路南側　四番
下今宿裏小路南側　壱番
下今宿裏小路南側　弐番
下伊古村
下六丁牟田村
下南川原山
下古賀村
下合瀬山村
下合瀬村
下吉田村
下和泉村
下和田村
下坂村
下場村
下多久庄
下多久村
下大町
下大町村
下大豆田村
下姉川村
下宿
下宿村
下小副川山村
下小副川村
下小田村
下小田町
下山谷村
下岩屋村
下崎村
下市川山村
下市村
下平野村
下幸平山
下徳永村
下戸川村
下戸田村
下拂村
下新村
下村
下村郷
下杠山村
下杠村
下東郷
下板村
下栗原ケ里
下梅野山
下梅野山村
下棚村
下江良ケ里
下江良ヶ里
下泉村
下津東分村
下津毛村
下浦村
下渕村
下満村
下無津呂山村
下無津呂村
下熊川村
下田村
下田野上村
下町
下直鳥村
下直鳥芦野
下直鳥西分
下石動村
下砥川村
下砥川村柳靏
下神代村
下童新村
下童村
下竹原村
下竹村
下織嶋ケ里
下蓑具村
下藤ヶ里
下藤原山村
下藤原村
下藤村
下西ケ里
下西ノケ里
下西山村
下西郷
下西野ケ里村
下西野ヶ里
下豆田村
下賀瀬村
下郷
下野村
下関屋山村
下関屋村
下靍村
下靏村
下飯盛村
下高木村
下鶴村
下黒木村
下黒髪村
不動寺村
不動山
不動山村
不動嶋村
不動村
不可弥山
与方村
与気地村
与賀
与賀上郷
与賀下
与賀下郷
与賀八丁馬場小路北側　七番
与賀八丁馬場小路北側　三番
与賀八丁馬場小路北側　九番
与賀八丁馬場小路北側　五番
与賀八丁馬場小路北側　八番
与賀八丁馬場小路北側　六番
与賀八丁馬場小路北側　十一番
与賀八丁馬場小路北側　十二番
与賀八丁馬場小路北側　十五番
与賀八丁馬場小路北側　十六番
与賀八丁馬場小路北側　十四番
与賀八丁馬場小路北側　十番
与賀八丁馬場小路北側　四番
与賀八丁馬場小路北側　壱番
与賀八丁馬場小路北側　弐番
与賀八丁馬場小路南側　七番
与賀八丁馬場小路南側　三番
与賀八丁馬場小路南側　五番
与賀八丁馬場小路南側　六番
与賀八丁馬場小路南側　四番
与賀八丁馬場小路南側　壱番
与賀八丁馬場小路南側　弐番
与賀船津
世間村
丗石村
丙大田村
丙太田村
丙村
両岩村
両足山
中ノ原村
中ノ原町
中ノ宿
中ノ谷村
中ノ靍村
中久間村
中之小路北側　七番
中之小路北側　三番
中之小路北側　九番
中之小路北側　五番
中之小路北側　八番
中之小路北側　六番
中之小路北側　十一番
中之小路北側　十番
中之小路北側　又八番
中之小路北側　又壱番
中之小路北側　四番
中之小路北側　壱番
中之小路北側　弐番
中之小路南側　七番
中之小路南側　三番
中之小路南側　九番
中之小路南側　五番
中之小路南側　八番
中之小路南側　六番
中之小路南側　十番
中之小路南側　四番
中之小路南側　壱番
中佐嘉郷
中原宿
中原宿村
中原村
中古江田村
中古賀村
中善寺村
中多久庄
中多久村
中小路
中小路より西江入厨子　三番
中小路より西江入厨子　五番
中小路より西江入厨子　又壱番
中小路より西江入厨子　四番
中小路より西江入厨子　壱番
中小路より西江入厨子　弐番
中小路東側　七番
中小路東側　三番
中小路東側　五番
中小路東側　六番
中小路東側　又三番
中小路東側　又五番
中小路東側　又四番
中小路東側　又弐番
中小路東側　四番
中小路東側　壱番
中小路東側　弐番
中小路西ノ竪小路東側　三番
中小路西ノ竪小路東側　壱番
中小路西ノ竪小路東側　弐番
中小路西ノ竪小路西側　三番
中小路西ノ竪小路西側　四番
中小路西ノ竪小路西側　壱番
中小路西ノ竪小路西側　弐番
中小路西側　七番
中小路西側　三番
中小路西側　九番
中小路西側　五番
中小路西側　八番
中小路西側　六番
中小路西側　十一番
中小路西側　十番
中小路西側　又九番
中小路西側　四番
中小路西側　壱番
中小路西側　弐番
中小路西側　拾番
中尾村
中居古賀村
中屋敷村
中山
中山村
中嶋村
中嶋町
中嶋町　
中折村
中早津江
中村
中杖村
中樽山
中河内村
中河原村
中津村
中津江村
中津熊村
中津隈村
中津隈郷
中浦村
中溝ケ里
中溝ケ里村
中溝ヶ里
中濱村
中牟田村
中田村
中町
中町　
中絶村
中薗村
中谷村
中道山
中郷
中郷村
中里村
中野原村
中野原町
中野吉村
中野村
中野河内村
中飯盛村
串屋村
丸田村
丸目新村
丸目村
丹爪村
丹生川内村
丹生川村
丹生川村俵坂
久々牟田村
久保山村
久保山村椎場
久保村
久保田村
久原村
久地井村
久富村
久山村
久徳山
久昌山
久本ケ里
久本ヶ里
久次ケ里
久治村
久治浦村
久津久村
久町村
久留間村
久米ケ里
久米ケ里村
久米ヶ里
久良木村
久蘇ヶ里
久蘓ケ里
久蘓ケ里村
久須ケ里
久須ヶ里
久須村
乗目村
乙南里村
乙宮村
乙板附ケ里
乙板附ヶ里
乙柳ケ里
乙柳ケ里村
乙柳ヶ里
乙馬手ケ里
乙馬手村
九丁分村
九品山菩提院
九日町
九町分村
九蘓ケ里
九蘓ヶ里
九郎之名村
九郎名村
九郎手村
乾谷村
亀ケ崎津
亀峰山
亀嶋山
亀浦村
二ノ瀬村
二俣ケ里
二俣ケ里村
二俣ヶ里
二俣村
二又村
二子村
二日町
二瀬川村
二重村
五ノ折村
五丁分村
五丁田村
五代村
五日町
五条ケ里
五条ノ宿
五條ケ里
五條ケ里村
五條ヶ里
五段林村
五段田村
五町八段村
五町分村
五町田村
五百町郷
五葉山
五領村
井上山
井尻村
井崎村
井手分村
井手口村
井手古賀村
井手川内村
井手新村
井手方村
井手村
井手東分村
井手河内村
井手西分村
井手野村
井樋尾村
井牟田村
井福村
井茅村
井雲山
仁亦村
仁俣ケ里
仁又村
仁比山
仁比山村
仁王山
仁田ノ多尾
仁田原村
今原村
今古賀村
今安山
今寺村
今屋敷村
今山村
今岳村
今岳村白野
今嶽村
今市村
今手川村
今村
今松山
今橋
今橋村
今武村
今泉村
今津上町
今町
今町村
今里村
仙桂山
伊万里
伊万里下町
伊万里中町
伊万里新町
伊万里村
伊万里立町
伊万里郷
伊佐里村
伊保戸ケ里
伊保戸ヶ里
伊保戸村
伊加屋村
伊勢屋本町
伊勢屋本町　
伊勢屋町
伊勢屋町　
伊古村
伊岐力村
伊王寺村
伊王嶋
伊王嶋村
伊生ヶ里
伊生刈
伊福村
伊萬里津
伊萬里町
伊萱村
伊賀代村
伊賀屋村
伏原村
伏尾村
伏部村
伯樹山
伽羅陀山
佐保川島郷
佐保川嶋郷
佐保村
佐保河嶋郷
佐嘉
佐嘉城下附
佐嘉山内
佐嘉郡
佐嘉郡三丁分津
佐嘉郡三反田古道村
佐嘉郡三溝村
佐嘉郡上下村
佐嘉郡上佐嘉来迎寺村
佐嘉郡上佐嘉郷金立村
佐嘉郡上古賀村
佐嘉郡上小副川村
佐嘉郡上関屋村
佐嘉郡上飯盛村
佐嘉郡下今宿町裏
佐嘉郡下和泉村
佐嘉郡下和泉野村
佐嘉郡下小副川村
佐嘉郡下村
佐嘉郡下淵村
佐嘉郡下渕村
佐嘉郡下邑
佐嘉郡下飯盛村
佐嘉郡与賀
佐嘉郡与賀郷高太郎村
佐嘉郡中佐嘉郷三溝村
佐嘉郡中原村
佐嘉郡中古賀村
佐嘉郡中島村
佐嘉郡中折村
佐嘉郡中野村
佐嘉郡中野邑
佐嘉郡中飯盛村
佐嘉郡久保田徳萬村
佐嘉郡久保田村
佐嘉郡久池井村
佐嘉郡久留間村
佐嘉郡五領村
佐嘉郡今山村
佐嘉郡今泉村
佐嘉郡今津上町
佐嘉郡今津下町
佐嘉郡伊勢屋本町
佐嘉郡伊勢屋町
佐嘉郡佐保川島郷水上村
佐嘉郡佐保村
佐嘉郡佐留志村
佐嘉郡修理田村
佐嘉郡元町
佐嘉郡元町村
佐嘉郡八戸宿
佐嘉郡八戸村
佐嘉郡八戸溝
佐嘉郡八田村
佐嘉郡八田町村
佐嘉郡六座町
佐嘉郡北原村
佐嘉郡北嶋村
佐嘉郡北邑
佐嘉郡千住村
佐嘉郡千布村
佐嘉郡千布邑
佐嘉郡南里村
佐嘉郡厘外村
佐嘉郡古勢郷修理田村
佐嘉郡古勢郷東西村
佐嘉郡古勢郷若宮村
佐嘉郡古勢郷高尾村
佐嘉郡吉村
佐嘉郡名尾邑
佐嘉郡嘉瀬上町
佐嘉郡嘉瀬下町
佐嘉郡嘉瀬中原村
佐嘉郡嘉瀬元町
佐嘉郡嘉瀬十五村
佐嘉郡嘉瀬庄中原村
佐嘉郡嘉瀬座主町村
佐嘉郡嘉瀬有重村
佐嘉郡嘉瀬本町村
佐嘉郡嘉瀬村
佐嘉郡嘉瀬橋口町
佐嘉郡嘉瀬町
佐嘉郡嘉瀬荘
佐嘉郡嘉瀬郷本町村
佐嘉郡国分村
佐嘉郡国分邑
佐嘉郡堺邑
佐嘉郡増田村
佐嘉郡多布施村
佐嘉郡多布施町
佐嘉郡大井樋村
佐嘉郡大俣郷徳萬村
佐嘉郡大堂村
佐嘉郡大堂邑
佐嘉郡大宝村
佐嘉郡大寳村
佐嘉郡大嶋村
佐嘉郡大材村
佐嘉郡大津村
佐嘉郡大津邑
佐嘉郡大田村
佐嘉郡大詫間村
佐嘉郡大財村
佐嘉郡太俣郷永里村
佐嘉郡太田村
佐嘉郡實久村
佐嘉郡寺井
佐嘉郡小副川村
佐嘉郡小川村
佐嘉郡小田ヶ里
佐嘉郡尼寺村
佐嘉郡尼寺邑
佐嘉郡山内須田村
佐嘉郡山津村
佐嘉郡山領村
佐嘉郡岸川村
佐嘉郡岸川町
佐嘉郡岸川町裏
佐嘉郡崎ケ江村
佐嘉郡川上山
佐嘉郡川久保村
佐嘉郡川久保邑
佐嘉郡川副三重村
佐嘉郡川副上郷武藤村
佐嘉郡川副上郷角町村
佐嘉郡川副下郷崎ケ江村
佐嘉郡川副徳富村
佐嘉郡川副新郷村
佐嘉郡川副東古賀村
佐嘉郡川副東郷三重村
佐嘉郡川副江上村
佐嘉郡川副袋村
佐嘉郡川副道免村
佐嘉郡川副郷深川村
佐嘉郡川副酒井村
佐嘉郡巨勢
佐嘉郡巨勢郷中野吉村
佐嘉郡平嶋
佐嘉郡平嶋村
佐嘉郡平野村
佐嘉郡座主町村
佐嘉郡御領邑
佐嘉郡徳万村
佐嘉郡徳富村
佐嘉郡徳永村
佐嘉郡徳萬村
佐嘉郡快万村
佐嘉郡恒安村
佐嘉郡愛敬嶋
佐嘉郡愛敬嶋村
佐嘉郡愛敬嶋村唐人町
佐嘉郡戸田村
佐嘉郡扇町
佐嘉郡扇町村
佐嘉郡新庄八戸溝村
佐嘉郡新庄村
佐嘉郡新庄江里村
佐嘉郡新庄郷鍋嶋村
佐嘉郡新郷村
佐嘉郡於保村
佐嘉郡早津江村
佐嘉郡有重村
佐嘉郡木原古賀村
佐嘉郡木原村
佐嘉郡木角村
佐嘉郡末次村
佐嘉郡本庄村
佐嘉郡本庄精町村
佐嘉郡来迎寺村
佐嘉郡東中野村
佐嘉郡東古賀村
佐嘉郡東故衛
佐嘉郡東新庄村
佐嘉郡東淵村
佐嘉郡東田代
佐嘉郡東西村
佐嘉郡東西邑
佐嘉郡東郷為重村
佐嘉郡東高木村
佐嘉郡松原
佐嘉郡松瀬村
佐嘉郡柳町
佐嘉郡森田村
佐嘉郡植木村
佐嘉郡楢田村
佐嘉郡権現原
佐嘉郡橋津村
佐嘉郡武藤村
佐嘉郡水ヶ江
佐嘉郡永里村
佐嘉郡江上村
佐嘉郡江熊村
佐嘉郡江頭村
佐嘉郡池上村
佐嘉郡河上山
佐嘉郡津留村
佐嘉郡灰塚村
佐嘉郡為重村
佐嘉郡熊山
佐嘉郡牛嶋村
佐嘉郡牟田寄村
佐嘉郡牡蠣久村
佐嘉郡犬尾村
佐嘉郡瓦町村
佐嘉郡田中村
佐嘉郡畑瀬村
佐嘉郡相應村
佐嘉郡真手山
佐嘉郡神野村
佐嘉郡福田村
佐嘉郡窪田村
佐嘉郡立野村
佐嘉郡米納津
佐嘉郡米納津村
佐嘉郡米納津邑
佐嘉郡紺屋町
佐嘉郡與賀里外村
佐嘉郡船津村
佐嘉郡若宮原
佐嘉郡草場村
佐嘉郡荻野村
佐嘉郡菖蒲村
佐嘉郡蓮池
佐嘉郡蓮池舘下
佐嘉郡薬師丸町
佐嘉郡藤木村
佐嘉郡蛎久村
佐嘉郡蠣久村
佐嘉郡袋村
佐嘉郡西中野村
佐嘉郡西古賀村
佐嘉郡西古賀邑
佐嘉郡西尾崎村
佐嘉郡西山田村
佐嘉郡西新庄村
佐嘉郡西松瀬村
佐嘉郡西淵村
佐嘉郡西空閑邑
佐嘉郡西長瀬村
佐嘉郡角町邑
佐嘉郡諸富邑
佐嘉郡道免村
佐嘉郡道免邑
佐嘉郡里外村
佐嘉郡野々古賀村
佐嘉郡野中村
佐嘉郡野田村
佐嘉郡金丸村
佐嘉郡金立山
佐嘉郡金立村
佐嘉郡長瀬村
佐嘉郡長瀬町
佐嘉郡長瀬町裏
佐嘉郡長瀬邑
佐嘉郡関屋村
佐嘉郡阿高村
佐嘉郡須田村
佐嘉郡香田村
佐嘉郡駄市川原北村
佐嘉郡駄賃村
佐嘉郡高太郎村
佐嘉郡高尾村
佐嘉郡高岸村
佐嘉郡高岸村天祐寺境内
佐嘉郡高平邑
佐嘉郡高木新村
佐嘉郡高木村
佐嘉郡高木町
佐嘉郡高木町裏小路
佐嘉郡高木邑
佐嘉郡高柳村
佐嘉郡鯔江邑
佐嘉郡鹿子新村
佐嘉郡鹿子村
佐嘉郡鹿江村
佐瀬村
佐留志上新村
佐留志下新村
佐留志惣領分
佐留志村
佐留志祖子分
佐留志西分
佐留志西分村
佐留志麁子分
佐織ケ里
佐織ヶ里
佐賀郡嘉瀬郷東原村
