亜,あ,次位、次ぐ。亜相、亜将は大納言・近衛中少将を指す
相妨,おうぼう,正当な権利を持たない者が、実力を行使して他領内へ侵入し不当課税などの不法行為をする事
大都,おうよそ,凡そ
押領,おうりょう,力をもって他人の財産を奪いとる事
大田文,おおたぶみ,国ごとの詳細な土地台帳
大番,おおばん,①京都で禁中を警固する勤務 ②鎌倉大番役
大袋,おおぶくろ,盗賊
大間書,おおまがき,除目などの時、任ずる官を書いただけの文書。行間に任官される人名を書き入れる
大政所,おまんどころ,摂政関白の母
大都,おおよそ,凡そ
置文,おきぶみ,遺書
嗚呼,おこ,あほらしい・馬鹿らしい・馬鹿
烏呼,おこ,あほらしい・馬鹿らしい・馬鹿
越度,おちど,過失・失敗・落命
越階,おつかい,昇進の順序によらず、一度に階を超えて位が昇進すること
越訴,おっそ,順序を経ずして直訴する事
解頭,おとがいをとく,大いに笑う
偽引,おびく,欺き誘うこと
無覚束,おぼつかなし,はっきりしないこと
慮外,おもいのほか
以為,おもえらく,思うに・考えるに
所念行,おもほす,おぼしめす
折紙,おりがみ,料紙を横長に二つに折ったもの
境節,おりふし,折節・とき
御座,おわします,おわすの敬語
御,おわす,いらっしゃる・居るの敬語
募御勢,おんいきおいをつのる,御威勢をもとめねがう
恩言,おんげん,情け深い言葉
御事,おんこと,御逝去
恩裁,おんさい,恩情のある裁決
御大,おんたい,大将の略
奉為,おんために,御為に
恩地,おんち,勲功によって得た所領
隠田,おんでん,かくし田
御入,おんいり,御入来・来るの敬語
雅意,がい,我意・わががま
皆具,かいぐ,完備して装束・馬具
黄昏,かいくらみどき,日のくれ・たそがれ
乖忤,かいご,違犯
邂逅,かいごう,思いかけずにあう
外実,がいじつ,外聞・実儀の略
介錯,かいしゃく,世話をすること・後見・首切り人
刷,かいつろう,つくろう・容姿をととのえる
開発,かいはつ,開墾
開白,かいびゃく,法令や儀式のはじまり・初日
涯分,がいぶん,分相応・精一杯
外弁,がいべん･げべん,諸節会に承明門外で儀式をとりおこなう上卿
槐門,かいもん,大臣の唐名
回麟,かいりん,返報・返書の表書き
回録,かいろく,火事
花営,かえい,室町幕府の雅称→柳営
課役,かえき,租税と夫役と・仕事を割り当てること
替米,かえまい,為替の銭のかわりにする米
還殿上,かえりでんじょう,殿上人が昇殿を止められて後、許されること＝還昇
牙開,がかい,申す・言う
拘,かかう,もちこたえる・人を雇い入れる
家顔,かがん,もてなしの意
鵞眼,ががん,銭のこと
書上,かきあげ,書き上げる・上申書・申状
