亜,あ,次位、次ぐ。亜相、亜将は大納言・近衛中少将を指す
御厨,みくりや,伊勢神宮の私領
御気色,みけしき,御意・おぼしめし
水流,みずながれ,失火の忌詞
御園,みその,神社領の園の総称
密々,みつみつ,きわめて内密なさま
身放,みはなつ,見捨てる
御牧,みまき,朝廷御用の牧場
耳聞,みみきき,探偵
名主,みょうしゅ,荘園・国衙領において耕作地を所有して年貢以下の役納責任をもつ農民
名田,みょうでん,荘園・国衙領の収納の基礎単位となった田
迎買,むかえがい,市場または特定の場所へ運ばれる売荷を中間で待ち受けて買い取ること
無足,むそく,無銭・無禄
六借,むつかし,むずかしい
棟別,むなべち,家ごと・棟別銭は家毎にかかる税
明鏡,めいきょう・めいけい,明かな証拠
鳴弦,めいげん,弓の弦を引き鳴らして悪霊・妖気を退散させる呪法
名名,めいな,除目の際、任官すべき人々の姓名を列記して、太政官から天皇に奏聞する文書
召放,めしはなつ,所領を官へ取り上げる、没収する
乳母,めのと,①母親に代わって幼主に母乳を与え、養育する女 　　②男で幼主の養育を担当する人
乳人,めのと,①母親に代わって幼主に母乳を与え、養育する女 　　②男で幼主の養育を担当する人
乳母子,めのとご,乳母の子
目安,めやす,見やすいように一つ書に書くこと・訴状
免給,めんきゅう,荘園領主が免田を支給すること
免田,めんでん,年貢・課役を免除された田地
面拜,めんぱい,面会の謙譲語
申沙汰,もうしさた,理非を論じ裁決すること、訴訟で事務手続・判決を進行させる事をいう
申状,もうしじょう,官府に上申する文書、訴訟における原告の訴状
目代,もくだい,地方官の代官
目録,もくろく,人名や品名、内容の項目などを見やすく書き出したもの
目六,もくろく,人名や品名、内容の項目などを見やすく書き出したもの
黙止,もだし,だまっている・無視する
没官,もっかん,官に没収する
物怪,もっけ,思いがけない
無勿体,もったいない,畏れおおい
尤,もっとも,①当然のこととして、いかにも　②とりわけ
物成,ものなり,収穫・年貢
胡慮,ものわらい,世間のあざけり
持相,もやい,共有
門客,もんかく,その家に一時的に身を寄せている食客
館,やかた,充名などで姓名の下につけた場合は敬意を表す
屋形,やかた,主君のこと
八木,やぎ,米
役夫工米,やくぶたまい,役夫工すなわち造営人夫の料米の意味
夜前,やぜん,前日の夜・昨夜
良久,ややひさしくして
動,ややともすれば,ややもすれば
止事无,やんごとなし,貴い
無止,やむなし
由緒,ゆいしょ,①根拠・理由 ②いわれ、由来
遺跡,ゆいせき,①故人が住んだ場所 ②故人が残した領地・権益・相続すべき所領 ③死者の後に残った家族、遺族
維那,ゆいな,寺の事務を処理する僧の職
遺領,ゆいりょう,故人が残した所領、遺跡
右職,ゆうしょく,高官
有職,ゆうそく,ものしり・学者
宥免,ゆうめん,罪を許す・
鱈,ゆき,たらの女房詞
行次,ゆくて,行く先・行くついで
努力努力,ゆめゆめ,決して
許,ゆる,ゆるす・許可する・沙汰する
余,よ,うつき・四月
夜居,よい,夜詰める・宿直
陽,よう,かみなづき・十月
用脚,ようきゃく,銭・費用
用途,ようと,費用、必要とする費用
用途米,ようとまい,費用にあてる米
容用,ようよう,聞き入れる、受け入れる
豫儀,よぎ,躊躇すること、ためらう心
余儀,よぎ,他のこと・別の方法
抑留,よくりゅう,①押さえ留めること 　②徴収した年貢・所当を押さえ留めて領家・国衙へ差し出さない事、横領
横合,よこあい,いわれない・横車
餘算,よさん,残りの寿命、余命
予参,よさん,①列参・参列して列座すること　②物事に参与する
寄,よせ,①後援・後見・信頼　②後見人
寄沙汰,よせさた,訴訟人が権門・有力者の威を借り、これに代償を払って名義上の当事者になってもらうこと
寄文,よせぶみ,寄進状
与奪,よだつ,与えることと奪うこと
四会,よつつじ,四辻
与党,よとう,ある人に味方する仲間
与同,よどう,同意して仲間に加わること
余内・余荷,よない,芸人などの給料の割増を取ること
与判,よはん,免許・許可の判をおすこと
四方山・四極山,よもやま,世間
自,より,(経過点・手段・方法を表す助詞)…によって
寄人,よりうど,記録所、御書所、後院などの主典。庶務・執筆などを掌る
与力,よりき,助力
寄子,よりこ,付属する兵士・配下・寄親に対する語
夜白,よるしら,昼夜
據所無,よんどころなし,どうしようもない
洛,らく,都、京都
落書,らくしょ,人目に付きやすい所に書いて掲示する匿名の文書
落堕,らくだ,僧侶が戒律を捨てて不謹慎な生活をすること
濫悪,らんあく,法を無視した乱暴な行為
埒,らち,馬場の周囲にめぐらした柵
落去,らっきょ,片づく・落着
落居,らっきょ,片づく・落着
乱波,らっぱ,雑兵の一種・間諜
濫行,らんぎょう,不都合なおこない
乱逆,らんぎゃく,謀反、反逆
濫刑,らんけい,刑罰を無法・無秩序におこなうこと
蘭省,らんしょう,太政官・弁官の異称
濫觴,らんしょう,事の起こり
濫吹,らんすい,乱暴・不都合
濫妨,らんぼう,乱暴
濫望,らんぼう,当否を考えずみだりに乞い望むこと
理運,りうん,道理・勝利
利運,りうん,道理・勝利
力者,りきしゃ,百姓・かごかき
陸梁,りくりょう,気まま勝手に振る舞うこと
理世,りせい,この世を治めること　＝治世
理訴,りそ,訴訟において道理の通った主張
理致,りち,道理、すじみち
率法,りっぽう,①割合を定めた法令 ②新補地頭の権限である得分基準を定めた法令
利売,りばい,利益を得て売ること
理不尽,りふじん,道理にかなわないこと
利分,りぶん,利子、利息
釐務,りむ,国司などの執務
吏務,りむ,国司などの執務
歴名,りゃくみょう,名前を順序に書き記すその帳簿
掠領,りゃくりょう,掠奪し領有する
掠籠,りゃくろう,奪い取り領有する
柳営,りゅうえい,将軍のいる陣・幕府・将軍
竜象,りゅうぞう,高僧・僧侶
竜集,りゅうしゅう,竜は星の名・集はやどること・年号の下に書く語
流例,りゅうれい,古くから伝わる慣例、先例
陵夷,りょうい,物事が廃れ衰えること
領家,りょうけ,荘園制の本所に次ぐ地位の領主
料簡,りょうけん,考えて判断を下す
了見,りょうけん,考えをめぐらし解釈すること
令旨,りょうじ,皇族一般の御教書
領所,りょうしょ,領地・所領
両所,りょうしょ,執権・執事のこと
料所,りょうしょ,特定の費用に当てるために料物を徴収した所領
領状,りょうじょう,承知すること・承知した書状
領掌,りょうじょう,領地として支配すること　＝領有
料足,りょうそく,費用・代金・銭
陵遅,りょうち,衰微
料物,りょうもつ,そのことに使う資財、または費用
綸旨,りんじ,天皇の命を蔵人が奉じて発給する文書
累家,るいか,古くから代々続いた家、旧家
累日,るいじつ,幾日も続くこと
類書,るいしょ,事項別に分類編集した図書
類地,るいち,同種類の地所・関係ある地所
累葉,るいよう,代を重ねること、代々　＝累代
留守,るす,①主人が外出している間、家を預り守ること。またその人　②留守職の略　③外出していないこと
留守所,るすどころ,国司が不在の場合、代わりに留守の在庁官人が国務を執る場所
流例,るれい,伝来のしきたり・慣例
霊寺,れいじ,仏の霊験著しい寺　＝霊場
麗爾,れいじ,きらびやか
例式,れいしき,きまった儀式・作法
伶人,れいじん,楽人・雅楽の楽師
冷然,れいぜん,冷淡・立腹
例日,れいにち,いつもの日・常の決まりの日
任例,れいにまかせて
黎民,れいみん,庶民
零落,れいらく,①勢力・資財を失い衰える、落ちぶれる ②(土地・建物なとが)破損する、荒廃する ③死亡
零余,れいよ,残り・あまり・わずか
練行,れんぎょう,仏法の習練
連枝,れんし,貴人の兄弟
連署,れんしょ,①文書に複数人が署名連判すること ②執権の補佐して政務を執る重職
練若,れんにゃ,寺の異称
連々,れんれん,引つづき・しばしば
﨟,ろう,年功・僧が受戒後、修行した年数
狼逆,ろうぎゃく,乱暴狼藉
﨟次,ろうじ,﨟をつんだ年数
郎従,ろうじゅう,家来、従者、血縁関係がない家来
狼藉,ろうぜき,乱暴、無法な行為
浪人,ろうにん,浮浪人、また牢人
狼唳,ろうれい,①狼の如く凶悪で道理に背く行為 ②狼藉、実力による違法行為
牢籠,ろうろう,浮浪する・困窮落魄
睦,ろくに・よくよく(･･･しない)・楽に・自由に
露見,ろけん,あらわれる・発覚する
露次,ろじ,野宿・露宿
閭里,ろり,村里
論人,ろんにん,被告
我式,わがしき,私ごとき
若宮,わかみや,天皇の皇親
和讒,わざん,讒言・注意・取り計らい
和市,わし,売買・商売・相場
煩,わずらい,他人の領内へ侵入して与える不法な被害
移徙,わたまし,転居の尊敬語
和談,わだん,和睦・和解すること
和主,わぬし,対象の人代名詞
和与,わよ,贈与・和解・処分
還礼,わんれい,答礼
