下猟師,,,,名詞,普通名詞,一般,*,*,*,,,下猟師,,下猟師,,和,*,*,*,*,OGI_ROLE
下目付,,,,名詞,普通名詞,一般,*,*,*,,,下目付,,下目付,,和,*,*,*,*,OGI_ROLE
下目付役,,,,名詞,普通名詞,一般,*,*,*,,,下目付役,,下目付役,,和,*,*,*,*,OGI_ROLE
下見分,,,,名詞,普通名詞,一般,*,*,*,,,下見分,,下見分,,和,*,*,*,*,OGI_ROLE
下郡代,,,,名詞,普通名詞,一般,*,*,*,,,下郡代,,下郡代,,和,*,*,*,*,OGI_ROLE
与付未極,,,,名詞,普通名詞,一般,*,*,*,,,与付未極,,与付未極,,和,*,*,*,*,OGI_ROLE
与代,,,,名詞,普通名詞,一般,*,*,*,,,与代,,与代,,和,*,*,*,*,OGI_ROLE
与手明鑓格,,,,名詞,普通名詞,一般,*,*,*,,,与手明鑓格,,与手明鑓格,,和,*,*,*,*,OGI_ROLE
与扱,,,,名詞,普通名詞,一般,*,*,*,,,与扱,,与扱,,和,*,*,*,*,OGI_ROLE
与賀神主,,,,名詞,普通名詞,一般,*,*,*,,,与賀神主,,与賀神主,,和,*,*,*,*,OGI_ROLE
与迦,,,,名詞,普通名詞,一般,*,*,*,,,与迦,,与迦,,和,*,*,*,*,OGI_ROLE
与頭,,,,名詞,普通名詞,一般,*,*,*,,,与頭,,与頭,,和,*,*,*,*,OGI_ROLE
与頭次席,,,,名詞,普通名詞,一般,*,*,*,,,与頭次席,,与頭次席,,和,*,*,*,*,OGI_ROLE
世話役,,,,名詞,普通名詞,一般,*,*,*,,,世話役,,世話役,,和,*,*,*,*,OGI_ROLE
世話焼,,,,名詞,普通名詞,一般,*,*,*,,,世話焼,,世話焼,,和,*,*,*,*,OGI_ROLE
両殿様,,,,名詞,普通名詞,一般,*,*,*,,,両殿様,,両殿様,,和,*,*,*,*,OGI_ROLE
両番,,,,名詞,普通名詞,一般,*,*,*,,,両番,,両番,,和,*,*,*,*,OGI_ROLE
両親,,,,名詞,普通名詞,一般,*,*,*,,,両親,,両親,,和,*,*,*,*,OGI_ROLE
中代官所付役,,,,名詞,普通名詞,一般,*,*,*,,,中代官所付役,,中代官所付役,,和,*,*,*,*,OGI_ROLE
中剃役,,,,名詞,普通名詞,一般,*,*,*,,,中剃役,,中剃役,,和,*,*,*,*,OGI_ROLE
中尾二郎右衛門組,,,,名詞,普通名詞,一般,*,*,*,,,中尾二郎右衛門組,,中尾二郎右衛門組,,和,*,*,*,*,OGI_ROLE
中村作四郎預役者,,,,名詞,普通名詞,一般,*,*,*,,,中村作四郎預役者,,中村作四郎預役者,,和,*,*,*,*,OGI_ROLE
中村力之允預役者,,,,名詞,普通名詞,一般,*,*,*,,,中村力之允預役者,,中村力之允預役者,,和,*,*,*,*,OGI_ROLE
中村力之允預御手舸子,,,,名詞,普通名詞,一般,*,*,*,,,中村力之允預御手舸子,,中村力之允預御手舸子,,和,*,*,*,*,OGI_ROLE
中村半兵衛預三石御手舸子,,,,名詞,普通名詞,一般,*,*,*,,,中村半兵衛預三石御手舸子,,中村半兵衛預三石御手舸子,,和,*,*,*,*,OGI_ROLE
中村半兵衛預役者,,,,名詞,普通名詞,一般,*,*,*,,,中村半兵衛預役者,,中村半兵衛預役者,,和,*,*,*,*,OGI_ROLE
中村半兵衛預御手舸子,,,,名詞,普通名詞,一般,*,*,*,,,中村半兵衛預御手舸子,,中村半兵衛預御手舸子,,和,*,*,*,*,OGI_ROLE
中村惣右衛門預役者,,,,名詞,普通名詞,一般,*,*,*,,,中村惣右衛門預役者,,中村惣右衛門預役者,,和,*,*,*,*,OGI_ROLE
中村新右衛門預役者,,,,名詞,普通名詞,一般,*,*,*,,,中村新右衛門預役者,,中村新右衛門預役者,,和,*,*,*,*,OGI_ROLE
