お伝,,,,名詞,固有名詞,人名,一般,*,*,*,*,お伝,*,お伝,*,固,*,*,*,*,OGI_JINMEI
お佐保,,,,名詞,固有名詞,人名,一般,*,*,*,*,お佐保,*,お佐保,*,固,*,*,*,*,OGI_JINMEI
お初,,,,名詞,固有名詞,人名,一般,*,*,*,*,お初,*,お初,*,固,*,*,*,*,OGI_JINMEI
お勝,,,,名詞,固有名詞,人名,一般,*,*,*,*,お勝,*,お勝,*,固,*,*,*,*,OGI_JINMEI
お千代,,,,名詞,固有名詞,人名,一般,*,*,*,*,お千代,*,お千代,*,固,*,*,*,*,OGI_JINMEI
お千百,,,,名詞,固有名詞,人名,一般,*,*,*,*,お千百,*,お千百,*,固,*,*,*,*,OGI_JINMEI
お半,,,,名詞,固有名詞,人名,一般,*,*,*,*,お半,*,お半,*,固,*,*,*,*,OGI_JINMEI
お厚,,,,名詞,固有名詞,人名,一般,*,*,*,*,お厚,*,お厚,*,固,*,*,*,*,OGI_JINMEI
お吉,,,,名詞,固有名詞,人名,一般,*,*,*,*,お吉,*,お吉,*,固,*,*,*,*,OGI_JINMEI
お吉良,,,,名詞,固有名詞,人名,一般,*,*,*,*,お吉良,*,お吉良,*,固,*,*,*,*,OGI_JINMEI
お和,,,,名詞,固有名詞,人名,一般,*,*,*,*,お和,*,お和,*,固,*,*,*,*,OGI_JINMEI
お園,,,,名詞,固有名詞,人名,一般,*,*,*,*,お園,*,お園,*,固,*,*,*,*,OGI_JINMEI
お寵,,,,名詞,固有名詞,人名,一般,*,*,*,*,お寵,*,お寵,*,固,*,*,*,*,OGI_JINMEI
お市,,,,名詞,固有名詞,人名,一般,*,*,*,*,お市,*,お市,*,固,*,*,*,*,OGI_JINMEI
お年,,,,名詞,固有名詞,人名,一般,*,*,*,*,お年,*,お年,*,固,*,*,*,*,OGI_JINMEI
お幾,,,,名詞,固有名詞,人名,一般,*,*,*,*,お幾,*,お幾,*,固,*,*,*,*,OGI_JINMEI
お才,,,,名詞,固有名詞,人名,一般,*,*,*,*,お才,*,お才,*,固,*,*,*,*,OGI_JINMEI
お操,,,,名詞,固有名詞,人名,一般,*,*,*,*,お操,*,お操,*,固,*,*,*,*,OGI_JINMEI
お敦,,,,名詞,固有名詞,人名,一般,*,*,*,*,お敦,*,お敦,*,固,*,*,*,*,OGI_JINMEI
お春,,,,名詞,固有名詞,人名,一般,*,*,*,*,お春,*,お春,*,固,*,*,*,*,OGI_JINMEI
お末,,,,名詞,固有名詞,人名,一般,*,*,*,*,お末,*,お末,*,固,*,*,*,*,OGI_JINMEI
お松,,,,名詞,固有名詞,人名,一般,*,*,*,*,お松,*,お松,*,固,*,*,*,*,OGI_JINMEI
お楽,,,,名詞,固有名詞,人名,一般,*,*,*,*,お楽,*,お楽,*,固,*,*,*,*,OGI_JINMEI
お添藤左衛門,,,,名詞,固有名詞,人名,一般,*,*,*,*,お添藤左衛門,*,お添藤左衛門,*,固,*,*,*,*,OGI_JINMEI
お清,,,,名詞,固有名詞,人名,一般,*,*,*,*,お清,*,お清,*,固,*,*,*,*,OGI_JINMEI
お牛,,,,名詞,固有名詞,人名,一般,*,*,*,*,お牛,*,お牛,*,固,*,*,*,*,OGI_JINMEI
お直,,,,名詞,固有名詞,人名,一般,*,*,*,*,お直,*,お直,*,固,*,*,*,*,OGI_JINMEI
お糸,,,,名詞,固有名詞,人名,一般,*,*,*,*,お糸,*,お糸,*,固,*,*,*,*,OGI_JINMEI
お羊,,,,名詞,固有名詞,人名,一般,*,*,*,*,お羊,*,お羊,*,固,*,*,*,*,OGI_JINMEI
お美濃,,,,名詞,固有名詞,人名,一般,*,*,*,*,お美濃,*,お美濃,*,固,*,*,*,*,OGI_JINMEI
お輝,,,,名詞,固有名詞,人名,一般,*,*,*,*,お輝,*,お輝,*,固,*,*,*,*,OGI_JINMEI
お類,,,,名詞,固有名詞,人名,一般,*,*,*,*,お類,*,お類,*,固,*,*,*,*,OGI_JINMEI
お鶴,,,,名詞,固有名詞,人名,一般,*,*,*,*,お鶴,*,お鶴,*,固,*,*,*,*,OGI_JINMEI
お＊,,,,名詞,固有名詞,人名,一般,*,*,*,*,お＊,*,お＊,*,固,*,*,*,*,OGI_JINMEI
かはた四五右衛門,,,,名詞,固有名詞,人名,一般,*,*,*,*,かはた四五右衛門,*,かはた四五右衛門,*,固,*,*,*,*,OGI_JINMEI
きら,,,,名詞,固有名詞,人名,一般,*,*,*,*,きら,*,きら,*,固,*,*,*,*,OGI_JINMEI
くぼ,,,,名詞,固有名詞,人名,一般,*,*,*,*,くぼ,*,くぼ,*,固,*,*,*,*,OGI_JINMEI
くまの川同勝右衛門,,,,名詞,固有名詞,人名,一般,*,*,*,*,くまの川同勝右衛門,*,くまの川同勝右衛門,*,固,*,*,*,*,OGI_JINMEI
けさ松,,,,名詞,固有名詞,人名,一般,*,*,*,*,けさ松,*,けさ松,*,固,*,*,*,*,OGI_JINMEI
けさ靏,,,,名詞,固有名詞,人名,一般,*,*,*,*,けさ靏,*,けさ靏,*,固,*,*,*,*,OGI_JINMEI
けさ鶴,,,,名詞,固有名詞,人名,一般,*,*,*,*,けさ鶴,*,けさ鶴,*,固,*,*,*,*,OGI_JINMEI
こんとう坊主,,,,名詞,固有名詞,人名,一般,*,*,*,*,こんとう坊主,*,こんとう坊主,*,固,*,*,*,*,OGI_JINMEI
さよ,,,,名詞,固有名詞,人名,一般,*,*,*,*,さよ,*,さよ,*,固,*,*,*,*,OGI_JINMEI
せん菊,,,,名詞,固有名詞,人名,一般,*,*,*,*,せん菊,*,せん菊,*,固,*,*,*,*,OGI_JINMEI
せ与助,,,,名詞,固有名詞,人名,一般,*,*,*,*,せ与助,*,せ与助,*,固,*,*,*,*,OGI_JINMEI
そね,,,,名詞,固有名詞,人名,一般,*,*,*,*,そね,*,そね,*,固,*,*,*,*,OGI_JINMEI
たね,,,,名詞,固有名詞,人名,一般,*,*,*,*,たね,*,たね,*,固,*,*,*,*,OGI_JINMEI
とき,,,,名詞,固有名詞,人名,一般,*,*,*,*,とき,*,とき,*,固,*,*,*,*,OGI_JINMEI
