69枚
8巻
ニつ
ニ三人
ニ四十五石
ニ四間
ニ段
ニ百貫目
ニ石
ニ組
一
一ヶ所
一両
一二三番
一人
一件
一俵
一具
一同
一周
一周忌
一回
一回忌
一孤
一宿
一山
一張
一所
一手
一折
一日
一条
一枚
一枚宛
一段
一町弐反
一疋
一百年
一石
一石五斗
一種
一篇
一組
一腰
一艘
一貫
一貫文
一貫目
一通
一連
一里
一駄
丁
七
七ヶ所
七人
七八十
七分
七匁
七十
七十五石
七十四文
七十文
七千
七千百五十本
七合
七回
七回忌
七才
七拾歳
七斗
七日
七時
七段
七番
七百文
七石
七組
七部
万疋
万部
三
三ヶ年
三ヶ所
三両
三人
三兵
三冊
三十
三十七石
三十三回
三十両
三十五石
三十人
三十八石
三十八間
三十匁
三十日
三十枚
三十疋
三十石
三升
三升四合
三回
三回忌
三巻
三年
三度
三度宛
三所
三手
三拾三人
三拾三回忌
三拾貫
三拾貫目
三斗
三日
三本
三杓
三枚
三町
三畝
三番
三百
三百七拾匁
三百両
三百人
三百匁
三百文
三百疋
三百貫目
三石
三種
三羽織
三艘
三荷
三貫
三貫目
三通
三連
三郡
三間
三階
三駄
両
両人
両便
両度
両御寺
両社
九
九一三十五石
九人
九十
九十九石
九十六石五斗四升
九斗
九時
九番
九石
二
二つ
二ツ
二両
二人
二十
二十五回忌
二十五年回
二十五石
二十人
二十匁
二十枚
二十石
二千
二千両
二夜三日
二巻
二拾一人
二挺
二方
二日
二月
二本
二枚
二枚宛
二疋
二百
二百五十日
二百人
二百疋
二石
二石宛
二種
二筋
二羽
二艘
二連
二階
二頭
二駄
五
五々
五ツ
五ヶ所
五丁
五両
五人
五人宛
五人扶持
五俵
五六
五匁
五十
五十一石
五十人
五十匁
五十四文
五十回
五十回忌
五十年
五十日
五十本
五十枚
五十石
五千人
五千疋
五升
五合
五巻
五年
五年回
五斗
五日
五時
五月中
五本
五枚
五次
五畝
五疋
五百
五百年忌
五百文
五百疋
五百目
五石
五部
五頭
五駄
人数
仁石
八
八人
八十
八十匁
八十石
八升
八拾挺
八斗
八時
八月
八段
八石
八部
八駄
六
六人
六俵
六分
六十
六十一石
六十七石
六十歳
六十石
六十貫目
六千両
六千金
六升
六右
六合
六斗
六方
六日
六時
六枚
六百
六百五十七匁
六百文
六石
六社
六過
六頭
初
初て
勺
匁
十
十一人
十一日
十七
十七人
十七回
十七回忌
十七年回
十七石
十三人
十三回
十三回忌
十三年
十三貫
十両
十九人
十九疋
十九石
十二
十二人
十五人
十五日
十五枚
十五石
十五荷
十五貫目
十人
十人扶持
十俵
十八人
十八日
十八歳
十八石
十六文
十六石
十匁
十四人
十四石
十四石七斗壱升五合
十巻
十日
十枚
十石
十貫目
十郡
十間
千
千両
千五百俵
千五百本
千疋
千部
卅
卅五本
卅枚
卅石
升
半分
参寺
参日
員数
四ヶ条
四人
四匁
四十一
四十七人
四十九日
四十五石
四十人
四十歳
四十石
四升
四度
四斗
四時
四百石
四石
四艘
四駄
壱丁
壱両
壱人
壱人ツ々
壱匁
壱升
壱反
壱挺
壱斗
壱束
壱枚
壱枚半
壱番
壱番手
壱疋
壱石
壱石五斗
壱石弐斗
壱艘
壱貫
壱貫六百五十七匁
壱貫目
壱部
壱部半
壱駄
廿七日
廿九人
廿九枚
廿五人
廿五年
廿五歳
廿五石
廿八人
廿四日
廿日
廿枚
弐人
弐人飯米
弐俵
弐具
弐冊
弐十三石
弐十五年
弐十人
弐十弐文
弐合
弐拾一ヶ年
弐拾六人
弐拾匁
弐拾石
弐斗
弐本
弐枚
弐枚通
弐番
弐番手
弐百十匁
弐百文
弐百疋
弐百石
弐石
弐石五斗五升弐合五勺
弐艘
弐部
弐間
当月
御三回
御百
拾五人
拾五才
拾人
拾六歳
拾石
数ヶ年
数人
数口
数年
数廉
日数
百々日
百ヶ日
百両
百五十年
百五十石
百五拾回忌
百人
百八十
百八十貫
百八十貫目
百十四匁
百四拾本
百壱人
百年
百年忌
百廿日
百弐匁壱分
百日
百枚
百次
百疋
百石
金二百疋
金百両
銭二百文宛
