おはつ
おやつ
きら
みね
万
三浦安次
三浦明喬
三浦明敬
三浦能冬
中山信順
丹州
丹後守
主殿頭
主水
主膳
久
久松定持
乗輪院
了覚
了関
伊勢守
伊東祐實
伊東雲州
伊賀
但馬守
住心院
信州
備前守
備州
備後守
元武
光茂
公儀姫様
公方
六郎大夫
兵庫
内匠
出羽守
出雲
加州
加賀守
勝仙院
勝仙院僧正
十左衛門
千土
千鶴
南祥院
厳有院
又左衛門
右京亮
右近
右近将監
吉良
和泉守
因州
因幡
園田又左衛門
圓了院
圓明院
土井利実
土井利益
土居利益
土居利重
坊城俊完
坊城俊広
城州
壱岐守
壱州
多久安胤
多久安順
多久茂文
多久茂明
多久茂村
多久茂矩
多久茂辰
多賀丸
大久保忠増
大久保忠朝
大学
大学頭
大村純庸
大村純長
大炊頭
大納言
大蔵
官兵衛
宮内
宮城和充
家綱
寿昌院
小笠原忠雄
少将
尾張中納言
山城
岡部興貞
岩
峯
左京
左内
左膳
左近
市兵衛
市正
帯刀
平右衛門
式部
弘徳院
弥平左衛門
彦菊
御姫
御袋
徳寿院
徳川光圀
徳川吉通
徳川家宣
徳川家綱
徳川綱吉
徳川綱教
徳川綱條
志州
志摩
恵光院
慈渓院
摂州
摂津守
政之介
政之助
文照院
日善
日峯
星岩
星巌寺
春
晴雲院
智徹
月堂
村田政辰
村田氏久
松平主殿頭
松平乗久
松平右衛門佐
松平忠倫
松平忠房
松平忠雄
松平筑前守
松平肥前守
松平肥州
松平長門守
松平頼常
林鳳岡
柔軟院
正智軒
毛利吉就
毛利綱広
民部
水戸
水戸中納言
水野忠周
水野忠直
水野隼人正
泉州
泰盛院
流水院
淡路
牧野成央
犬塚民部
犬塚隼人
玄梁院
玄海
玄蕃
理性院
田尻庸種
田尻輝種
甲州
甲斐守
盛徳院
監物
直能
直茂
相模
真照院
石見
神代常宣
神代直長
祥光院
禅海院
秋元喬知
細川行孝
綱茂
緑樹院
美作
翁介
肥後守
能登
自覚
自覚尼
自雲
若子
菊
菊千代
西造酒
見性院
諫早直孝
諫早茂元
諫早茂晴
諫早茂真
讃州
豊前
造酒
金
金栗
鍋島元延
鍋島元敦
鍋島元武
鍋島元茂
鍋島光茂
鍋島勝茂
鍋島吉茂
鍋島宗茂
鍋島常治
鍋島常範
鍋島式部
鍋島晃諄
鍋島武興
鍋島直之
鍋島直堅
鍋島直堯（白石）
鍋島直将
鍋島直弘
鍋島直恒
鍋島直愈（白石）
鍋島直朗
鍋島直朝
鍋島直条
鍋島直條
鍋島直治
鍋島直澄
鍋島直称
鍋島直能
鍋島直英
鍋島直茂
鍋島綱茂
鍋島茂俊
鍋島茂和
鍋島茂宗
鍋島茂快
鍋島茂春
鍋島茂樹
鍋島茂正
鍋島茂清
鍋島茂清（横岳）
鍋島茂清（須古）
鍋島茂紀
鍋島茂能
鍋島茂里
鍋島貞村
長寿院
長門
防州
阿波
陽泰院
隠居
隠岐
隼人
靱負
飛州
駒木根政方
高岳院
高源院
鳳山
鶴
鶴姫
黒田光之
黒田宣政
黒田宮内
黒田継高
黒田綱政
黒田綱政（長寛）
黒田長清
黒田長重
