おさは女
おしめし洗女
おどり子
かご
かごかき
かごの者
かご者
かさ持
かべぬり
からみ方役
かゝげ役
かゝみ形役
かゝみ方
はさみ箱
はさみ箱持
はり付
はり付方
一手組
一類
万之介様付
三井寺
三家
三次郎様付
三男
三階裡役
上々様
上使
上使屋番
上地方
上様
下人
下付
下代
下代付
下代役
下女
下役
下猟師
下目付
下目付役
下見分
下郡代
与賀神主
世話役
世話焼
両殿様
両番
両親
中代官所付役
中剃役
中尾二郎右衛門組
中林四郎左衛門組
中老
中馬究役
主
主従
主殿頭
乳付
二丸勤
二丸町役
二男
五々川茂兵衛元組
井手番役
井樋奉行
井樋役
井樋指役
井樋方
井樋方役
亡父
交代方
交易方
交野女
人代
人別方
人足
人馬役
什物方
今泉能登路組
介役
介役差次
介抱方
介添
仕組
仕組方
付役
付役差次
代々
代参
代名
代官
代官助役
代官役
代官所下役
代打
代拝
仲居
伊王島詰
伊王嶋銀方
会所詰
伝奏
伯母
伯父
住僧
住持
住職
佐保塩硝蔵番
佐嘉小頭目付
余田金吾組
作事心遣
作事方
作奉行
作水方
使僧
使前
使木屋詰
使番
使者
使者番
侍
侍中
侍目付
侍衆
供
供中
供侍
供廻
供従士
供方
供番
供目付
供立
修理役
修理方
修理方付足軽
修理方役
借方役
借金方
借銀取調役
借銀方
倹約方
側女
側女中
側女中達
側小使
側小僧
側小坊主
側廻
側心遣
側方
側本
側江戸詰
側目付
側詰
側野婦女
側頭
傍下
傍女中
傍詰
傍諸役
傘
備立方
備米方
僧
僧衆
元〆
元〆役
元ト役
元分役
元卜役
元組
兄弟
先手
先払
公儀
公役人
公方
公方様
公金方
兼役
内元分役
内匠頭
内医師
内室
内師
内心遣
内方
内目付
内習
内詰
内詰中
内頭人
冨岡弥一左衛門組
冨岡弥五左衛門組
出役
出情
出来物方役
出生様付
出米方
出米方役
出納役
出陣方
出陣方下役
出陣方付
出陣方頭人
刀指
分銅改
別当
別当坊
制止方
前田卯三郎組
副奉行
加判
加判家老
助役
勅使御馳走
勘定差次
勘定所差次
勘定所役
勘定究役
勝手方
勢子
勢子頭人
勤方
勾当
北辻番
医使者
医師
医師頭取
医業
医生
医生頭取
十九組
十人
半公役
南里二左衛門組
博奕御調子掛り
双親
取あげばゝ
取次
取次介番
取次役
取立役
取立方
取納役
取納方
受役
受役居付
句当⇒勾当
召仕
台所付役
台所前方
台所役
台所男
台所蔵役
台所詰
台所頭
右筆
同人心遣組
同役
同心
同所詰
同輩
名付役
名代
吟味方
和尚
問役
国座頭
国役
国掛硯役
国諸役人
土井奉行
土蜘
地かご問屋
地方
地方介役
地方付
地方差次
地方役
城代
執政
堪忍侍
堪忍番
塩硝焚方
境目方
士
売方
外御台所
夜廻
大串関所番
大僧正
大僧正様付
大右衛門組
大坂詰
大堂座主
大小御役
大山留
大山番
大工頭
大工頭人
大庄屋
大御目付
大手代
大手辻番
大殿
大殿様
大江山
大炊頭
大物頭
大物頭隼人
大納言
大組頭
大蔵殿付
大蔵殿組内
大蛇
大配分
天神森堂守
天草代官
太皷取立方
太神宮社人
太郎兵衛殿組
夫丸
夫丸仕与方
夫婦
夫留
奉行
奥方
奥様
女
女中
女子
女房
女院
妹
妻
姉
始社人
姪
姫
姫君
姫様
娘
婚礼方
婦
嫡女
嫡子
嬉野善右衛門元組
子
子孫
子息
子様
学館懸
孫
安宅
宗門人改方
宗門方
宗門方差次
定詰
定警固
実子
実父
客屋番
客屋諸道具心遣
宰相
宰領
家中
家中惣代
家作方
家内
家来
家老
家老中
家老付
家老惣代
家老方
寄親
寺役人
寺浦大山留
寺番
寺社家
寺社方
射手
将軍
小々性
小使
小僧
小僧役
小坊主
小奉行
小女
小姓
小屋詰
小屋頭
小庄屋
小性
小性組
小政方
小検者
小物成
小物成所
小物成方
小田村左馬助組
小番
小督
小童
小路廻心遣
小道具
小道足
小鍛冶
小頭
小頭勤
小頭差次
小頭通
小馬廻
局
屋敷番
屏風役
屯番
屯番差次
屯詰
山□（破損）役
山かき夫丸
山ほたち役
山代
山代山田新組
山代心遣
山代浦崎御関所番
山代目代
山代組
山伏
山内代官
山内役
山取下役
山取奉行
山取役目付
山取方
山御目付
山方
山方付役
山方役
山火断
山火断役
山片奉行
山留
山目付
嶋原松平主殿頭
師長
平侍
年寄
年寄付
年男
年行事
年行司
広式番
広間当番
広間番
庄屋
座主
座配役
座頭
庭方
庵主
廻山代
弓鉄砲頭
引痘方
引直奉行
弘道館教授
弟
弟子
張良
当役
当役方
役
役々
役わり
役人
役人組
役住
役僧
役所
役所使
役所詰
役方
役方居付
役方見習
役目
役見習
後住
後役
徒士
徒士大筒組
徒足軽
従士
従士使
従弟
従弟半
従者
御三家
御三所
御付使者
御代
御側
御側心遣
御側目付
御内
御内台所役
御内御目付
御内頭人
御前
御前様
御匕
御口鎖口
御台所
御台所付役
御台所役
御台所頭
御女
御姫
御姫様方
御子
御子様方
御子様方付
御息
御歓
御父
御用人
御用人方
御用付
御用聞
御用聞町人
御用酒屋
御袋
御門
御附
心遣
心遣役
志賀
忰
急飛脚
性代
息
息女
悔使
悔使者
悔惣代
悴
惣仕置
惣代
惣侍
惣大夫
惣奉行
惣小頭
惣御目付
惣御目付助
惣心遣
惣心遣役
惣目付
懸り役
懸役
懸硯方
手代
手伝方
手明鑓
手男
手男頭
手飛脚
才領
打わた頭人
扶助
扶持方
抱夫方
抱男
拍子役
拝借方
持役
持筒方
指南方
挟箱
掃除役
掃除方
掛硯役
掛硯方
提重一組
搦方
政務方
数姫
数寄方
数寄方役
文武方
料理人
料理方
断代役
新宅定
新宅詰
新造
方々
方付
施薬方
施餓鬼方
旗本
日雇頭
旧記方
昏礼方
星野善兵衛組
時鐘搗
普請奉行
普請役
普請方
普請方付
普請方役
暇飛脚
書物方
月番御老中
朦中
木屋詰
木挽棟梁
末娘
末席
本方
本方役
本組
札究役
材木山取
村川市郎右衛門組
村川要人組
村役
東道目付
松二郎殿付
松濱焼物方
松田九郎兵衛組
松田弥兵衛組
校合役
格護方
桶屋
棺番
棺番人
植木方
検見役
槍持
横町番所
横目
次席
次男
次詰
武具役
武具方付
武者大将支配組
歩行
殿様
母
母親
民部殿組
水主
水支配
水支配役
水町平馬組
永橋清右衛門組
汐留役
江口
江戸勤
江戸御家老
江戸詰
江戸詰侍
河内下山留
河内大山留
治療方
泊番
法事役
法事方役
津屋
津方目付
浜御門番
浜詰
浦崎御番
浦崎御開所番
消飛脚
清書方
渋川次郎左衛門元組
渡役
渡方
火付
火消方
火消頭人
火箭
火術方
灯炉役
無人介役
無足
無足々軽
無足小頭
父
父子
片奉行
牛津客屋番
牛津御蔵付役
牢人
物書用人
犬仕
犬付
犬塚三郎兵衛組
狩方
狩方役
狩番
狩番人
狩目方
独礼
猟之方
猟方
猟方役
猟目付
猟頭人
産向役
産懸
産懸役
産方
甥
用人
田村
町奉行
町年寄
町役
町方
町飛脚
留守
留守中役方
留守居
留守居介役
留守番
留守詰
留役
番
番所
番所廻役
番組
番頭
番頭格
百姓
皿山方
盗賊方
目付
目付役
目付方
目代
目安吟味
目安方
目附
盲女
直代
相原左次兵衛組
相続講方
相談役
着座
知飛脚
石炭掘方
礼使者
社人
祈願方
祐筆
祐筆頭
祖母
祖父
祝方
神主
神代源兵衛組
祭城二兵衛組
祭掛り
禁裡
禅門江浚方
稽古方
穀物問屋
穢多
究役
立石与
竹生嶋
笠持
筆算方
筆者
算用役
算用究
算術方
築地詰
簡略方
簾中
籠守
米取物役
米取納役
米改役
米筈方
系図写方
系図請方
納戸
納戸之方
納戸付
納戸役
納戸方
紙方
紙方下役
紙買入役
細物方
組
組役
給仕
置坊主組
群方
老中
老女
老母
聞番
聞番方
職人
能子方
能役
能方
脈伺
脚力
腰副
膳方
膳部役
膳部方
舎人
舸子
船修理目付
船奉行
船屋番
船山代
船廻
船弁慶
船役者
船手
船手与
船手組
船手者
船方
船番
船目付
船頭
花筺
若子
若殿
若殿様
茶壺奉行
茶弁当
茶弁当持
茶道格
草履取
草履役
荷からげ役
荷方
荷物取
菅井御側
菅井御目付女中
菅井御門番
葬送方
葵上
蔵床
蔵床付
蔵床付役
蔵床役
蔵方
蔵方付役
蔵方役
蔵方役所
蔵方納戸役
蔵番
蔵米取納役
蔵米取調役
薬園見繕
薬王寺只之允組
藤山三郎兵衛組
藤島七郎右衛門組
藤島清左衛門組
藤嶋七郎右衛門組
表御門番
被官
裏御門番
西丸三階番
西丸年男
西丸聞番
西丸詰
西屋敷詰
西岡御門番
西岡徳右衛門元組
西岡詰
西村安右衛門組
西村長兵衛組
見分
見分方
見習
規式役
親
親類
親類同格
親類方
角力取
触使
記録方
評定所
評定所番
詰
詰中
詰使番
詰小道具
詰忠
詰足軽
読手
読書方
調達方
請元
請取役
請役
請役付
請役家老
請役所詰
警固
警固役
警固頭人
警衛
貝吹
貞俊番
買入方
貸付方
貸方
賄方
賄男
足々軽
足軽
足軽物頭
足軽番
足軽目付
足軽組
跡代
跡役
跡方
軍目付
転役
辻番
迎侍
近習
返礼使者
退役
造酒
連判家老
連枝
進物方
道具調役
道奉行
道心
遠岳源右衛門心遣組
遠岳神九郎組
遠見番
郡代
郡代付
郡代役
郡奉行
郡方
郡方付
郡方達
郡目付
郡目付改
部屋住
部替役
郷役
郷御目付
郷方
郷方役
郷普請方
郷目付
里山留
野口進之允殿組
鉄砲組
鉄砲頭
銀主
銀方
銀蔵役
鍛冶
鍛冶橋詰
鎖口番
鎖口詰
鎖御番
長局付
長崎下向上使
長崎奉行
長崎御代官
長崎御奉行
長崎御屋代
長崎御用聞
長崎御番
長崎御番代
長崎御目付
長崎聞番方
門主
門弟
門番
門番頭
間役
関所番
関船詰
附
附々役
附人
附役
院代
隠居
隠居付
隠居付定詰
隼人
隼人殿元組
霊屋番
靱負殿組
領主中
領内組
頭人
頭取
風呂方
飛脚
飛脚便
飛脚達
養
養娘
養子
養生方
養祖父
養老
馬上
馬屋
馬屋者
馬屋頭
馬廻
馬方
馳走人
馳走役
馳走役方
馳走御役
高主役
高島御番
高島番
高嶋小番
高嶋御番
高嶋番
髪たれ
髪置役
魂屋普請方
魚見岳詰
鶴捕
鷹匠
鷹屋詰
鷹師
鷹方
黒木新左衛門組
黒木次郎兵衛組
＊飛脚
