■分村
えど
えびす町
えり刈
おとなし山
おほ原
かきびせ村
かな山
かむろ
かやくぼ山
くまの川
くり原山
だゑが岳
とゝきかはた
なでうす
なら田村
アメリカ
ナガサキ
七島
万山狩場
三ケ嶋ケ里村
三ヶ島刈
三ヶ村
三丸
三学寺
三島
三嶋
三瀬
三町
三間寺村
上下織島
上下織島刈
上下織嶋刈
上久間野川山村
上久須刈
上佐嘉北原住
上佐嘉野口村
上使屋
上古川
上合瀬山村
上合瀬村
上多久村
上宮
上屋敷
上市川山村
上戸田村
上方
上江
上江良刈
上無津呂山村
上無津呂村
上熊の川村
上田村
上町
上砥川村
上織島ケ里
上織嶋刈
上織得刈
上郷
上関
下久間野川山村
下付今村
下佐保川島
下古賀村
下合せ村
下合瀬山村
下多久村
下市川山村
下戸田村
下村
下江
下河原
下無津呂山村
下無津呂村
下町
下町岡町
下砥川村
下関
下靍村
不快中村
両国橋
両山
中原宿村
中国路
中多久村
中小路
中柳町
中溝ケ里村
中溝村
丸亀
丹後彦嶋谷
久保村
久保田
久原御番所
久原村
久次ケ里
久留米
久留米領
久留間村
久米ケ里
久米ケ里村
久蘓ケ里村
久須ケ里
乙柳ケ里村
九蘇刈
二三丸
二丸
二俣ケ里村
二御丸
五条ヶ里
五條ケ里村
五頭天山宮
亡水町
京
京都
人形屋
人牛津本町
今夜牟田村
今山
今山大願寺
今山村
今山正勝寺
今度町
今日高町
今村
今泉能登路
付久留間村
仙洞御所
代官所
伊万里町
伊勢屋町
伊王島
伊王嶋
会山
会据山
佐保川島
佐保川嶋久留間村
佐古山
佐嘉
佐嘉評定所
佐留志
佐賀
使者村
使者河村
例両山
修覆用村
倉持村
倉町
候大地町
候岡町
候杉町
候段町
候水町
候町
備前
備州神野
允岡町
入座
八天岳
八枝ヶ里村
八段原村
八田原山
八田原山村
八龍権現社
六ヶ村
内砥川村
内野
内野山村
内野村
円長寺
冷水峠
凡三町
出丸
出入町
出口
初田ヶ里
別府村
別当牛津両町
前堀
勺下合せ村
北丸
北之御屋形
北之橋際
北小路
北松
北横山通
北浦
北浦御台場
北浦村
北郷
北郷井手
十八井手
十郎中津村
千栗山
南折島刈
南折嶋刈
原大山
原町
参州二川之駅
友田村
友田郡
古場山村
古場村
古湯川
古湯村
古畑山
古茸山浦山
古賀村
台山
右両山
右原村
右村
合せ村
合今山村
合瀬山
合瀬村
吉冨村
吉原ケ里村
吉原村
吉田西道免村
吉祥坊
同村
名護屋
呼子
唐津
唐津濱崎村
善六右原村
善座庵
嘉瀬辺
四ヶ村
四合八段原村
四條ケ里村
国武社
國友村
土居
土生ケ里村
城村
堀江村
堀江村山
堂免村
報忍寺
塚崎
境原
境山
境川筋
境目堀
多久
多久原村
多町
多賀
大なり木村
大串山村
大串御番所
大串村
大久保
大久保山
大久保村
大分
大名小路
大地町
大坂
大堂
大寺ケ里村
大川
大工山
大平山
大庄屋中町
大戸ケ里
大戸ケ里村
大戸刈
大手口
大手町
大江ケ里村
大石村
大道村
大里
大野山
大野山村
大野村
大阪
大願寺村
天守
天山岳
天山嶽
天山御社
天祐寺町
天神村
太宰府
太神宮
奥州
奥御規式
奥村
女夫石
女山村
好生館
嬉野
嬉野甚兵衛屋敷
学文所
宇佐
宇治
安倍川
安心辺
安真川原
宗智
宗智寺
定原ケ里村
定原村
宝積村
室池院
室津
宮内殿宅
宮内殿山
宮野浦村
宰府
家屋敷
寄親宅
寅御門
寅御門御屋敷
寒気山
寺
寺同村
寺村
寺浦
寺浦山
寺浦村
寿山
小侍村
小倉
小城
小城・岡両町
小城上町
小城上町西之内
小城下町
小城下町風呂屋前
小城山
小城岡両町
小城岡多町
小城岡町
小城川
小城川筋
小城御領
小城町
小城郡江津村
小屋瀬
小松ノ間
小松間
小浜
小田
小田原駅
小田古賀村
小田村
小路屋敷
居間
屋形
屋形内
屋敷
山代
山代郷
山内
山内摩那古村
山城郷
山家
山崎村
山王
山田ケ里
山田内野村
山田村
山高館
岡両町
岡両町別当牛津両町
岡之前
岡前
岡古町
岡多町
岡山
岡山社
岡本ケ里村
岡本刈
岡村
岡町
岩倉村
岩屋筋
岩村
岩蔵
岩蔵六ヶ村
岩蔵寺
岩蔵村
岩蔵東谷村
岸川村
岸川町
島原
嶋原
川上
川上井手
川上惣座御番所
川内野村
川原小路
川波又兵衛上り地
川越村
左京殿御新宅
左治馬義西村
巳之吉朝日町
市の川村
市中郷村
市川杉山
市川杉山鎌原
市野川
市野川村
布施ケ里
常圓寺
常圓寺同村
常賢院
平井村
平兵衛横町
平原村
平戸
平戸領
平林山
年行司寺
広間
庄屋中町
延岡
弁才堂
弁才搦
弁才搦土井
弘道館
当町
彦山
彦島
彦島山
彦嶋
彦嶋山
彦嶋村
彦嶋道
役所
往還橋
御丸
御出入町
御出横町
御家
御山通
御朦家
御法度山
御狩山
御産屋
御礼水町
御立山
御茶屋
御館下町
徳善宮
徳善院
志波屋
念仏堂
愛宕
戊ケ里村
戌ヶ里
成石村
戸崎村
戸川町
戸田宿
戸田村
所村
払朝日町
折村
持永井樋西
振山
据山
揚屋敷
搦
搦村
摂州高畑村
摩那古村
播州
播州室乃湊
播州明石
放出同村
散分村
新ケ江村
新之谷
新宅
新川
新庄村
新町
於保
於保村
於同村
於学館
日向
日峯明神
日州延岡
日据山
日田
日野町
旧地屋敷内
普寺城山
晴気
晴気城山
晴気大谷山
晴気村
晴気黒原村
朝日町
木下忠左衛門宅
木屋瀬
木嶋溝
木挽棟梁岡町
木曽路
木村
末居郡
本丸
本告村
本山村
本庄
本庄白山
本村
杉山村
材木掘
東下古賀村
東原村
東山田
東山田村
東楽寺山
東海道
東築町
東芦刈
東谷村
東郷江津
杵嶋溝ケ里村
松わり谷
松ヶ谷山
松原ヶ里
松原屋敷
松尾山
松尾村
松景
松木山
松本山
松渓
松渓丸山
松瀬
松瀬山
松瀬村
松田村
板屋村
柄崎
柳川
柳瀬村
柿久村
柿樋御村
柿樋瀬新屋敷
柿樋瀬村
栄照庵
栄照庵堤
栗並山村
栗原ケ里村
桐野村
桑名
桒原ケ里村
桒靍村
桜岡
桜田
桟敷
梅徳山
棟梁岡町
植立山
楠ケ里村
楠ヶ里
樋口ケ里村
樋口刈
横丁客屋
横山村
横町
横町番所
樫木
正勝寺
正徳町
武雄
段原村
段町
殿水町
殿迄奥村
水上
水上山
水町
水辺金山
永吉村
永地堤
永岡刈
永岡小路
永泉寺村
永清寺村
永田ケ里村
永田搦村
永田村
江口ケ里村
江坂
江大
江尻
江島津
江州國友村
江府
江府町
江戸
江戸御屋敷
江戸町
江津村
江熊野村
江筋
江良ケ里村
江里山
江里山村
池上ケ里村
池上ヶ里
池上村
河上
河上大明神
河上宿
河上川
河上川口
河上河口
河上除川
河上鳥居
河内
河内下
河内前山
河内宮尾山
河内山
河内岩船
