太神宮四社
一乗院
一仲軒
一朝庵
一真院
一行寺
万福寺
万部寺
三光寺
三寳寺
三岳寺
三明寺
三昧院極楽堂
三浄寺
三現寺
三福寺
三英寺
三頭寺
上乗坊
上定坊
不二庵
不動坊
不動寺
不動院
不断院
与親軒
世尊院
中之坊
中泉寺
中谷坊
久仙坊
久善庵
久法院
久遠寿寺
乗善坊
乗耀坊
乗蓮寺
也足禅菴
乾亨院
亀仙庵
亀頂庵
二徳院
二階坊
五戒坊東福院
五知坊
亨岩寺
今在寺
今泉寺
仙生院
仙蔵院
以瑞軒
以雲寺
佛乗寺
佛光院
佛心寺
佛性寺
佛成院
佛教坊
佛道院
依正院
保福寺
信忠院
信福寺
信行寺
修善院
修学院
健福寺
傳宗菴
傳心菴
傳正院
傳照寺
傳稱寺
傳藏庵
僧坊
億昌寺
元亨庵
元光寺
元國寺
元通寺
光久院
光勝寺
光厳寺
光厳庵
光圓寺
光宗寺
光専寺
光巖寺
光巧寺
光徳寺
光教寺
光日寺
光旭寺
光明寺
光明庵
光明院
光栄寺
光桂寺
光楽寺
光正寺
光浄坊
光浄寺
光源寺
光澤寺
光照寺
光福寺
光蓮寺
光蔵寺
光輝坊
光雲寺
光静院
光顕寺
光龍軒
冨一寺
冨泉院
冷泉寺
別当坊
利生院
利貞寺
勇猛寺
勝光院
勝厳寺
勝善庵
勝妙寺
勝学坊
勝林坊
勝楽寺
勝満寺
勝禅寺
勝福寺
勝観寺
勝軍院
勧應院
勧請寺
北之坊
北泉寺
北谷坊
医王庵
十如坊
十如寺
十念寺
十林庵
十輪院
千乗院
千手寺
千手院
千眼寺
千福寺
千秋軒
卓龐寺
南光院
南向庵
南徳寺
南泉庵
南泉院
南珠庵
南蔵坊
厚持庵
厚養庵
厳教寺
厳浄寺
厳福寺
及泉庵
吉祥坊
吉祥寺
吉祥庵
吉祥院
吉蔵坊
后寺
向日寺
向陽寺
向陽菴
吸光院
周地庵
周椿庵
和泉寺
和銅寺
唯心院
善住坊
善光寺
善勝坊
善壽庵
善大坊
善学坊
善宗坊
善定寺
善徳寺
善忠院
善念寺
善應寺
善應庵
善應院
善教坊
善教寺
善林坊
善林寺
善楽寺
善正寺
善法寺
善海庵
善福寺
善福庵
善福院
善興寺
善行寺
善講庵
善通寺
善重寺
善量寺
善長寺
善閭庵
善陽寺
善龍寺
国分寺
国壽院岩蔵寺
國相寺
國請寺
圓乗寺
圓乘院
圓光坊
圓光寺
圓光院
圓勝寺
圓城寺
圓城院
圓壽院
圓大寺
圓寿寺
圓徳寺
圓徳庵
圓心寺
圓應寺
圓成坊
圓成寺
圓教寺
圓明寺
圓林坊
圓楽寺
圓正寺
圓正寺妙観院
圓正院
圓満寺
圓満院
圓照寺
圓熙寺
圓福寺
圓立寺
圓蔵坊
圓蔵寺
圓蔵院
圓融寺
圓證寺
圓通寺
圓通庵
圓通興国禅寺
圓通菴
圓通院
圓長寺
圓龍院
土橋坊
地上寺
地尊院
地徳庵
地神堂
地福寺
地福庵
地福院
地蔵堂
地蔵寺
地蔵寺西峯院
地蔵庵
地蔵菴
地蔵院
地震坊
城徳寺
城満坊
城雲院
執持院
堀之堂
報恩寺
報恩庵
報福寺
報身寺
塵外軒
境圓寺
境持院
増鏡坊
増長坊
壽徳寺
壽性寺
壽慶庵
壽昌寺
壽昌院
壽明院
壽泉寺
壽盛寺
壽福寺
壽福院
多福庵
多聞院
多門院
大乗坊
大乗寺
大乗庵
大乗院
大乘院
大仙寺
大儀庵
大光寺
大光庵
大光院
大同庵
大圓坊
大圓寺
大妙寺
大学院
大定寺
大定院
大宮寺
大徳坊
大徳寺
大徳院
大念寺
大慈堂
大慈庵
大應寺
大應庵
大昌寺
大智寺
大智院
大林寺
大梅寺
大梅院
大機庵
大正院
大泉坊
大泉庵
大法寺
大法菴
大照庵
大福寺
大立寺
大義庵
大聖寺
大聖院
大興坊
大興寺
大興庵
大蓮坊
大蔵寺
大覚寺
大覚院
大通寺
大通庵
大運寺
大道院
大門坊
大陽庵
大雄寺
大雲寺
大音寺
大願寺
天佑庵
天初院
天壽院
天建寺
天徳寺
天徳庵
天徳院
天正院
天照寺
天王坊
天祐寺
天祥寺
天福寺
天福院
天継院
天門院
天龍院
天祥庵
太梅院
奇石庵
好昌院
如意林坊
如意珠坊
如意菴
如意院
如法寺
妙乗庵
妙仙寺
妙傳庵
妙光寺
妙勝寺
妙厳寺
妙圓寺
妙守庵
妙安寺
妙専寺
妙常寺
妙徳寺
妙念寺
妙恩寺
妙意軒
妙教寺
妙智庵
妙暹寺
妙月庵
妙月院
妙本寺
妙栄寺
妙椿寺
妙楽寺
妙泉寺
妙法寺
妙法護国寺
妙法護國寺
妙海寺
妙清庵
妙玉寺
妙珖寺
妙福寺
妙芳院
妙蓮寺
妙蔵寺
妙蔵院
妙行寺
妙覚寺
妙誓寺
妙輪寺
妙醫寺
妙金寺
妙鎮寺
妙鏡院
妙長寺
妙門寺
妙雲寺
妙音寺
妙顕寺
妙高坊
妙高寺
妙高庵
威光寺
威光院
威徳寺
威徳庵
威徳院
嫩桂院
孝善寺
孝楽寺
学蔵坊
学頭坊
守厳庵
安住院
安勝寺
安善寺
安国寺
安居院
安徳寺
安心庵
安息院
安楽寺
安祥寺
安禅寺
安福寺
安空寺
安長寺
安陽寺
安養寺
安養寺西持院
安龍寺
安龍院
宗元寺
宗光寺
宗善寺
宗壽菴
宗寿庵
宗専寺
宗明院
宗智寺
宗清寺
宗源院
宗眼寺
宗禅寺
宗紅寺
宗運寺
宗運軒
宗龍寺
定光寺
定村院
定林寺
定清菴
定盛菴
定福寺
宝光寺
宝光庵
宝光院
宝善坊
宝善院
宝圓寺
宝地坊
宝地庵
宝地院
宝城院
宝塔寺
宝壽院
宝寿寺
宝寿院
宝嶋庵
宝幢院
宝徳院
宝性院
宝憧院
宝持庵
宝持院
宝来庵
宝林坊
宝林寺
宝樹院
宝正寺
宝泉寺
宝王院
宝珠寺
宝珠庵
宝珠院
宝眼坊
宝積寺
宝聚庵
宝蔵坊
実相坊
実相寺
実相院
実相院元忠寺
実門坊
宮司坊
宿祐庵
宿翁軒
密厳寺寳光院
密教坊
密教院
密蔵院
寒若寺
實相坊
實相院
實蔵院
實鏡坊
實際軒
寳光庵
寳厚寺
寳善坊
寳圓寺
寳地寺
寳堂庵
寳壽寺
寳寿庵
寳徳院
寳林寺
寳正寺
寳殊院
寳池寺
寳泉坊
寳泉寺
寳満寺
寳満院
寳福庵
寳聚寺
寳蔵寺
寳蔵院
寶勝寺
寶壽院
寶持庵
寶昌庵
寶林寺
寶林庵
寶林菴
寶林軒
寶泉寺
寶珠庵
寶珠菴
寶珠院
寶琳寺
寶盛庵
寶石菴
寶福寺
寶積寺
寶蔵寺
寶造寺
寶重寺
寶陽寺
寶香庵
対陽寺
寿了庵
寿福庵
寿福院
専修寺
専修院
専光寺
専念寺
専福庵
専称寺
専称院
専立寺
専開坊
專福寺
尊光寺
對楊寺
小徳寺
小林寺
小林菴
小林軒
少林寺
尭仁坊
岩屋寺
岩松軒
岩松院
岩泉寺
岩泉庵
崇専寺
崇福寺
崇福院
巨福山
己身寺
布巻寺
常光寺
常喜院
常圓寺
常在寺
常徳寺
常念寺
常慶院
常應寺
常教寺
常春寺
常林坊
常林院
常楽寺
常楽菴
常樂寺
常満寺
常照院
常福寺
常立寺
常行寺
常賢寺
平井坊
平安寺
平等寺
平等菴
平等院平仙寺
幸元寺
幸善坊
幸常院
幸徳寺
幸福寺
幸福院
幻寄庵
幽照寺
度善庵
度珠庵
座主坊
廣厳寺
廣大寺
廣徳寺
廣徳菴
廣徳院
廣照寺
廣福寺
廣福庵
廣福護国禅寺
廣福軒
廣雲寺
延命寺
延命庵
延命軒
延命院
延壽寺
延福寺
延覚寺
建保禅寺
建徳寺
建福寺
弘泉寺
弘源寺
弘生院
弘行寺
弘誓庵
弘通寺
弥勒寺
弥陀堂
彌福寺
往生寺
得水庵
御所坊
徳善院
徳圓坊
徳圓寺
徳壽庵
徳寿院
徳常寺
徳昌寺
徳有軒
徳本寺
徳林庵
徳林軒
徳運寺
徳音寺
徳養軒
心城坊
心月寺
心月庵
心浄庵
心空庵
心香庵
忠珠庵
快正坊
性圓寺
性空寺
性蔵院
恩林寺
恵光寺
恵日寺
恵照庵
悉地院
悟心菴
悟真寺
惣持菴
惣持院
意楽寺
愛宕寺
愛染院
感應寺
感應院
慈久菴
慈光院
慈廣寺
慈徳庵
慈恩寺
慈恩庵
慈應寺
慈教院
慈照院
慈眼寺
慈眼庵
慈眼院
慈薗坊
慈限寺
慈雲寺
慈雲庵
慈音院
慶厳寺
慶宗寺
慶寿院
慶徳菴
慶徳院
慶忠庵
慶福寺
慶福菴
慶福院
慶誾禅寺
慶雲寺
慶雲院
應永寺
成光院
成在院
成実坊
成就坊
成就院
成福寺
成願寺
才林寺
拈華庵
持地庵
持福寺
持運院
指東庵
掬泉寺
掬泉庵
改蔵院
放生岳
放生庵
教仙寺
教信寺
教圓寺
教宗寺
教専寺
教徳寺
教楽寺
教法寺
教蔵院
敬法院
文殊寺
文殊院
文珠院
断渓院
新光寺
新高庵
日吉坊
日恩寺
昌善寺
昌寿院
昌林庵
昌福寺
昌興寺
昌隆寺
明元寺
明勝寺
明善寺
明圓寺
明学院
明宗寺
明寿院
明尊寺
明徳寺
明教寺
明星院
明春寺
明林坊
明正寺
明王院
明福寺
明蓮寺
明覚寺
明音院
明高庵
星巌寺
春得菴
春江菴
普久庵
普光寺
普光庵
普明寺
普明院
普濟院
普蔵寺
普賢坊
普賢寺
普賢院
普門坊
普門寺
普門庵
普門院
晴雲院
智信坊
智圓坊
智徳寺
智徳院
智恩寺
智称寺
曇花庵
曇華庵
曹源寺
曹源菴
最上庵
最勝坊
最勝寺
最勝王寺延命院
最尊院妙覚寺
月明寺
月景院
月桂庵
月湖庵
月舟軒
朝元寺
朝幸院
朝江院
朝照寺
本乗寺
本光寺
本光院
本地庵
本地院
本坊三学寺
本城院
本壽院
本實坊
本庄院慶正寺
本従坊
本従寺
本性寺
本應寺
本應院
本浄寺
本浄庵
本満寺
本漸寺
本照寺
本立寺
本経寺
本能寺
本蓮寺
本行寺
本覚寺
本覚院
本覺寺
本詮寺
本通寺
本長寺
本願寺
本願院
本龍寺
本龍禅院
杉寺
杉本坊正應寺
来倍軒
来迎寺
来迎院
東光寺
東光庵
東光院見明寺
東善寺
東学院
東安山
東明寺
東明庵
東林坊
東林寺
東林庵
東林院
東楽寺
東楽院
東江寺
東泉寺
東流寺
東漸寺
東濟寺
東照寺
東盛庵
東禅寺
東福寺
東福庵
東福院
東谷坊
東遠寺
東門寺多聞坊
松本坊
松林坊
松林寺
松林教寺金乘院
松長壽院妙光寺
松陰寺
松雲軒
松風庵
林仲寺
林忠寺
林江庵
林泉菴
林秀堂
林蔵寺
林香庵
柴王院
栄松庵
栄照庵
栄福庵
栄蔵寺
栖碧庵
栖聖寺
栖龍院
桂林坊
桂樹庵
桂秀院
桂雲寺
桃林寺
梅東寺
梅東庵
梅林寺
梅林寺自徳院
梅林庵
梅渓寺
梅谷庵
梅雲庵
梅香寺
梯雲庵
楊柳寺
楞厳寺
極楽坊
極楽寺
権應院
権福寺
櫛山神宮寺学頭坊金剛院
欽喜庵
歓喜寺
歓喜庵
歓喜禅寺
歓喜院
正久寺
正久院
正休寺
正伝寺
正伝庵
正傳寺
正傳庵
正傳院
正光院
正勝寺
正受寺
正善寺
正善院
正圓寺
正壽庵
正孝庵
正学院
正安寺
正宗菴
正宗院
正定寺
正定院
正徳寺
正念寺
正恩寺
正應寺
正持庵
正教寺
正智院
正榮寺
正法寺
正法菴
正法護国禅寺
正法院
正満寺
正源寺
正照寺
正眼寺
正福寺
正福院
正立寺
正興寺
正興庵
正蓮寺
正蔵坊
正蔵寺
正蔵院
正行寺
正行院
正見寺
正覚寺
正覚庵
正覚院
正證寺
正雲寺
正願寺
正龍寺
毎心院
水上坊
水月庵
永仁寺
永壽寺
永安寺
永寶寺
永徳寺
永昌寺
永昌院
永明寺
永松庵
永林寺
永正寺
永泉寺
永源寺
永照寺
永田庵
永祥寺
永福寺
永秀寺
永谷庵
永運寺
泉乗坊
泉福寺
泉秀軒
泉蔵坊
泉蔵院
泉養坊
泊舟院
法傳寺
法元寺
法勝寺
法園寺
法安寺
法専寺
法常寺
法性坊
法性寺
法恩寺
法撰寺
法昌庵
法本寺
法林寺
法林庵
法楽寺
法橋坊
法池坊
法泉坊
法泉寺
法泉庵
法源寺
法相院
法蔵寺
法蔵庵
法蔵院
法護院
法雷寺
法音寺
泰平寺
泰徳寺
泰教寺
泰智寺
泰松寺
泰林寺
泰蔵院
泰長院
洞明菴
洞明院
洞泉菴
津福寺
浄光寺
浄光院
浄勝院
浄國寺
浄園寺
浄圓寺
浄土寺
浄土院
浄妙庵
浄学坊
浄安寺
浄徳寺
浄心院
浄教寺
浄教庵
浄林坊
浄林寺
浄水庵
浄泰院
浄満寺
浄源寺
浄照寺
浄珠院
浄真寺
浄福寺
浄立寺
浄聖寺
浄臺寺
浄蓮寺
浄蔭寺
浄蔵寺
浄覚寺
浄誓寺
浄雲寺
海全坊
海壖寺
海寶寺
海潮庵
海蔵寺
海蔵庵
涼海坊
淀川寺
深山坊
深香庵
清久庵
清心寺
清心庵
清林坊
清正寺
清水庵
清泉寺
清泰寺
清流寺
清浄寺
清浄院
清蔵院
清龍庵
清龍院
渓泉菴
渭泉庵
満壽院
満徳寺
満徳庵
満性院
満福寺
満蔵院
満願寺
満養寺
源壽院
源昌寺
源秀院
滴清寺
漕源寺
潮月庵
潮運寺
潮音寺
潮音菴
澄空軒
無動院
無怨寺
無量寺
無量院
照光寺
照明庵
照林寺
照林軒
熊野寺
父母寺
牛頭庵
献珠院
玄昌寺
玄智坊
玄栄寺
玄瑞坊
玄祥坊
玉圓寺
玉寳庵
玉峰軒
玉林坊
玉林寺
玉樹庵
玉殿寺
玉毫寺
玉泉坊
玉泉寺
玉泉護國寺
玉泉院
玉満寺
玉田庵
玉田院
玉祥寺
玉秀院
玉葉坊
玉蔵院
玉通軒
珍海寺
珎香庵
珠明院
珠蔵院
理性院
理趣院
琳泉坊
瑞仙庵
瑞光寺
瑞光庵
瑞應寺
瑞昌院
瑞春軒
瑞泉庵
瑞泉菴
瑞泉院
瑞田寺
瑞雲寺
瑞雲院
瑞麟軒
瑞龍寺
瑞龍庵
瑠璃光寺
瑠璃光寺善福院
瑠璃光院
瓔珞院
甘露寺
生岩寺
生蓮寺
用音寺
田中寺
田中庵
當專庵
癡雲庵
発心院
白水軒
白現庵
盛光院
盛林寺
盛金庵
直到院
直指庵
眞常庵
眞浄院
眞照寺
眞眼寺
眞知坊
眞福寺
真乗坊
真乗寺
真乗菴
真乗院
真俗院
真光寺
真教寺
真楽寺
真正寺
真照寺
真珠庵
真珠院
真看坊興善寺
真福寺
真覚寺
真諦院
真龍寺
知徳院
知足寺
石上坊
石塔院
石水庵
石長寺
祇園寺
祇陀院
祐善寺
祐徳院
祐正寺
祝融庵
神宮寺
神通院
禅久寺
禅光寺
禅喜庵
禅定寺
禅後寺
禅應寺
禅日坊
禅林寺
禅林庵
禅福庵
禅秀院
福厳寺
福善寺
福圓坊
福地（智）院
福壽寺
福壽庵
福壽院
福寿庵
福寿菴
福巌寺
福智院
福林寺
福正寺
福泉坊
福泉寺
福泉庵
福泉禅寺
福泉菴
福海庵
福満寺
福源寺
福生寺
福田寺
福田庵
福田院
福祥寺
福聚寺
福聚庵
福聚菴
福聚院
福蔵寺
福貴庵
禮敬寺
秀岩寺
秀岳菴
秀岸寺
秀村寺
秀林寺
秀江菴
称名院
称念寺
称運院
称願寺
種福寺
稲佐山
積善庵
積善禅菴
積宝坊
積翠菴
空性寺
空林庵
空禅寺
竈王院
立傳寺
立安寺
立岩寺
立泉寺
立造坊
竜頂庵
竹仙庵
竹内坊
竹林寺
竹林菴
竺土庵
等持坊
等持院
等覚寺
米庵
精進坊
精金庵
紅満寺
紅西院
累泉寺
紹興寺
経光寺
経嶋寺
経林坊
續命院
耕月菴
耕雲寺
聖光寺
聖光院
聖善寺
聖恩寺
聖持院
聖福院
聖興寺
聖衆院
聞法寺
聯芳庵
聴松軒
胎蔵院
能満寺
臨江庵
臨滄庵
臨濟寺
自在寺
自大庵
自得寺
自得庵
自得院
自性軒
自恩寺
自持庵
興善院
興法寺
興禅寺
興福寺
興聖萬壽禅寺
興證寺
舜乗坊
般若坊
花厳院
花屋庵
花蔵庵
花蔵院
芳林寺
苗琳寺
苗運寺
荘厳坊
荘厳寺
荘厳院
菩提寺
菩提院
華蔵庵
萬善坊
萬徳寺
萬歳菴
萬福寺
萬蔵庵
萬部寺
葆光庵
蓮乗坊
蓮乗寺
蓮乗院
蓮光坊
蓮光寺
蓮厳院
蓮性寺
蓮性院
蓮成寺
蓮成院
蓮正寺
蓮池寺
蓮法院
蓮生庵
蓮福寺
蓮芳庵
蓮華寺
蓮華院
蓮蔵院
蓮行寺
蔵心庵
蔵珠庵
蔵禄庵
蔵福坊
蔵福寺
薬師堂
薬師寺
薬師院
薬應寺
薬王寺
薬聖寺
虎渓菴
衆典寺
行乗坊
行堂坊
行鎮寺
西之坊
西仙寺
西光寺
西光院
西圓寺
西宗寺
西岸寺
西常庵
西往寺
西念寺
西慶寺
西教寺
西敬寺
西方寺
西方院
西明寺
西来軒
西林坊
西林寺
西楽寺
西湖軒
西真寺
西福寺
西福院
西禮寺
西蓮寺
西蔵庵
西覚寺
西養庵
要徳院
要津庵
見性寺
見洋庵
見瀧寺寶地院
覚圓坊
覚圓寺
覚成坊
覚林寺
覚正寺
覚運寺
覚音寺
親盛寺
親種寺
親立寺
観喜庵
観國寺
観成庵
観智院
観然坊
観照院
観知院
観音堂
観音寺
観音寺一乗院
観音庵
観音院
覺圓坊
覺圓寺
覺坊
覺蔵坊
誓宗寺
誓願寺
誕生院
講中院
證明寺
證誠寺
護国寺水上坊不動院
護国庵
象頭庵
貴明寺
賀昌院
賀能院
賢楽寺
賢海寺
超光寺
趣世軒
辻之坊
迎接寺
通善寺
通天庵
通玄院
逝世庵
連性坊
運西庵
遍昭尊寺清心院
遍照寺
遍照院
道住寺
道喜坊
道場坊
醍醐院
醫王宗庵
醫王寺
醫王院
醫王院徳恩寺
醫福寺
釋迦寺
金乗寺
金乘院持光寺
金光寺
金光院
金剛寺
金剛寺寳乗院
金剛庵
金剛院
金星寺
金池坊
金泉寺
金牛庵
金福寺
金胎寺
金臺寺
金蓮庵
金蔵坊
金蔵寺
金蔵院
金銅坊
金香庵
金龍院
鎮空寺
鏡圓寺
鏡學坊
鏡巌院
鏡徳寺
鏡智院
長久寺
長久菴
長修院
長傳寺
長勝寺
長命寺
長善寺
長圓坊
長壽坊
長壽寺
長壽庵
長安寺
長寶寺
長寿院
長専寺
長延寺
長弘寺
長徳寺
長慶寺
長慶菴
長慶院
長春寺
長栄寺
長桂庵
長楽寺
長楽庵
長江寺
長泉寺
長泉庵
長淵寺
長源寺
長生寺
長禅寺
長福寺
長福庵
長聖寺
長興寺
長蔵菴
長谷寺
長隆寺
長龍寺
開田庵
阿含坊
阿弥陀寺
阿弥陀院
陀祇庵
陽向軒
陽弥庵
陽復庵
陽徳菴
陽林菴
陽盛庵
陽福寺
陽興寺
陽金庵
隆信寺
隆性寺
隆昌院
隆興寺
隠居庵
隣松軒
雲上寺
雲松庵
雲根庵
雲龍軒
霊仙寺
霊光庵
霊徳寺
霊樹庵
霊泉寺
霊源庵
霊源院
霊照菴
靈光庵
靈正庵
靍林院
青幡寺
青松寺
青龍寺
静元寺
頂昇寺
頂本寺
頂照寺
順光庵
順瑞坊
顕乗坊
顕徳寺
顕證寺
願成寺
願正寺
願行寺
養久菴
養徳庵
養泉坊
養源菴
養珠庵
養福寺
養行寺
館山寺
香善坊
香林菴
香樹庵
香雲寺
高仙寺
高傳寺
高城護国寺
高安寺
高寺
高岳禅院
高峯寺
高平
高徳寺
高徳院
高明寺
高月庵
高松寺
高林寺
高林庵
高楊庵
高福寺
高野寺
高雲寺
高音庵
高龍庵
高龍軒
鳳儀庵
鳳来寺
鳳来庵
鳶堂
鶏頭寺
麟頂寺
黄梅庵
黄梅院
龍仙坊
龍仙寺
龍光寺
龍光院
龍岳寺
龍徳院
龍昌寺
龍松寺
龍栖庵
龍正寺
龍水院
龍泉寺
龍泉庵
龍泰寺
龍津寺
龍海寺
龍源寺
龍澤寺
龍照寺
龍珠庵
龍珠菴
龍田寺
龍盤院
龍福寺
龍花寺
龍蔵院
龍行院
龍護寺
龍護院
龍造寺寳琳院
龍門院
龍雲寺
龍顔寺
神通庵
祥瑞院
